address,area,available_from_date,balcony,cellar,elevator,energy_building_year,energy_consumption,energy_efficiency_class,floor_level,freetext_area_description,freetext_ausstattung,freetext_other,freetext_property_description,garden,geo_latitude,geo_longitude,handicap_accessible,heating,heizungskosten,image,kaltmiete,kaution,kitchen_availability,nebenkosten,num_rooms,offer_id,pets_allowed,postcode,preis_qm_kalt,title,url,warmmiete
"Schöneberger Ufer 5a 10785 Kreuzberg, Berlin",73.41,01.04.2020,y,1,1,2020,,,2,"Zwischen Kreuzberg, Tiergarten und Schöneberg, nicht weit vom Potsdamer Platz, liegt der Park am Gleisdreieck. Früher ein Bahnknotenpunkt mit industriell geprägtem Umfeld, heute gewachsene Wildnis und gestalteter Freiraum, erholsamer Rückzugsort und große Freiflächen. Der rund 26 Hektar große Park am Gleisdreieck ist ein generationsübergreifender Lieblingsort der Berliner - mitten in der Stadt. Der moderne Volkspark bietet viel Platz für Sportler, Spaziergänger, Sonnenanbeter und Picknick-Fans. 
Gut erreichbar mit allen Verkehrsmitteln und zu Fuß. Viele kulturelle Höhepunkte Berlins liegen in der Nachbarschaft.
Ausgezeichnet mit dem Architekturpreis Berlin 2013, dem Sonderpreis Deutscher Städtebau 2014 und dem Deutschen Landschaftsarchitektur-Preis 2015.",,"Die Fotos zeigen Einrichtungsvorschläge, die Wohnung ist unmöbliert und farblich insgesamt in weiß gestaltet.","Das Objekt liegt im Gleispark, in Mitten von Kreuzberg, Schöneberg und Tiergarten. Hier sind Sie ganz nah dran, am Puls der Metropole und doch mitten im Grünen. Der Gleis Park schafft es beide Welten perfekt zu vereinen. 
Das Objekt wurde neu errichtet und das gesamte Ensemble wird fertig gestellt zu Beginn des Jahres 2020. 
Sie können sich also auf eine anspruchsvolle Architektur freuen.",0,52.50198453065087,13.373777787276804,n,central_heating,,,1615,4845,1,290,2,115925798,,10785,,Apartment mit Balkon im Gleis Park,https://api.mobile.immobilienscout24.de/expose/115925798?searchId=&nextgen=false,1905
"Schöneberger Ufer 5 10785 Kreuzberg, Berlin",70.49,01.04.2020,y,1,1,2020,,,2,"Zwischen Kreuzberg, Tiergarten und Schöneberg, nicht weit vom Potsdamer Platz, liegt der Park am Gleisdreieck. Früher ein Bahnknotenpunkt mit industriell geprägtem Umfeld, heute gewachsene Wildnis und gestalteter Freiraum, erholsamer Rückzugsort und große Freiflächen. Der rund 26 Hektar große Park am Gleisdreieck ist ein generationsübergreifender Lieblingsort der Berliner - mitten in der Stadt. Der moderne Volkspark bietet viel Platz für Sportler, Spaziergänger, Sonnenanbeter und Picknick-Fans. 
Gut erreichbar mit allen Verkehrsmitteln und zu Fuß. Viele kulturelle Höhepunkte Berlins liegen in der Nachbarschaft.
Ausgezeichnet mit dem Architekturpreis Berlin 2013, dem Sonderpreis Deutscher Städtebau 2014 und dem Deutschen Landschaftsarchitektur-Preis 2015.",,"Die Fotos zeigen Einrichtungsvorschläge, die Wohnung ist unmöbliert und farblich insgesamt in weiß gestaltet.","Das Objekt liegt im Gleispark, in Mitten von Kreuzberg, Schöneberg und Tiergarten. Hier sind Sie ganz nah dran, am Puls der Metropole und doch mitten im Grünen. Der Gleis Park schafft es beide Welten perfekt zu vereinen. 
Das Objekt wurde neu errichtet und das gesamte Ensemble wird fertig gestellt zu Beginn des Jahres 2020. 
Sie können sich also auf eine anspruchsvolle Architektur freuen.",0,52.49581901401571,13.368967102643623,n,district_heating,,,1480,4.440,1,280,2,115469574,,10785,,Gleis Park Apartment mit Balkon,https://api.mobile.immobilienscout24.de/expose/115469574?searchId=&nextgen=false,1760
"Schreiberhauerstraße 39 10317 Lichtenberg, Berlin",177,,y,1,1,2014,52,,4,"Das Neubaugebäude liegt in einer ruhigen Seitenstraße zwischen Ostkreuz und Rummeldburg im Bezirk Lichtenberg angrenzend an Friedrichshain. 

Die zentrale Lage bietet die Nähe zur Innenstadt als auch zur Natur durch die Nähe zur Rummelsburger Bucht, der Stralauer Halbinsel und dem Treptower Park.",,"Haustiere nur nach Absprache. 
Besichtigungen nach Vereinbarung jederzeit möglich. 
We do speak Englisch. 
Мы говорим по-русски.","Perfekt geschnittene und bis ins letzte Details durchdachte 5-Zimmer Familien-Wohnung nähe Ostkreuz und Rummelsburger Bucht

Diese hochwertige, helle Neubauwohnung mit 2 Terrassen und bodentiefen Fenstern besticht nicht nur durch ihre sehr gute Zimmeraufteilung, sondern auch erstklassigen Materialien und luxuriöse Einbauküche mit Miele Geräten inkl. integrierter Schneidemaschine. 

Bodentiefe Fenster und Schiebetüren, die den Zugang zu den 2 Terrassen öffnen, sorgen für stetige Helligkeit, Freundlichkeit sowie Penthouse Flair. 

Der moderne, knallige Kamin im Wohnbereich rundet den Wohlfühlcharakter der großzügigen Räumlichkeiten ab.

Weitere Details entnehmen Sie bitte unserem Exposé!",1,52.50437865025748,13.474709414312661,n,central_heating,,,2786.39,"8.359,17",1,513.61,5,115614800,,10317,,"Sonnige, perfekt geschnittene 5-Zimmer Familien-Wohnung mit Penthouse Flair",https://api.mobile.immobilienscout24.de/expose/115614800?searchId=&nextgen=false,3300
"Schöneberger Ufer 5a 10785 Kreuzberg, Berlin",103.35,01.04.2020,y,1,1,2020,,,5,"Zwischen Kreuzberg, Tiergarten und Schöneberg, nicht weit vom Potsdamer Platz, liegt der Park am Gleisdreieck. Früher ein Bahnknotenpunkt mit industriell geprägtem Umfeld, heute gewachsene Wildnis und gestalteter Freiraum, erholsamer Rückzugsort und große Freiflächen. Der rund 26 Hektar große Park am Gleisdreieck ist ein generationsübergreifender Lieblingsort der Berliner - mitten in der Stadt. Der moderne Volkspark bietet viel Platz für Sportler, Spaziergänger, Sonnenanbeter und Picknick-Fans. 
Gut erreichbar mit allen Verkehrsmitteln und zu Fuß. Viele kulturelle Höhepunkte Berlins liegen in der Nachbarschaft.
Ausgezeichnet mit dem Architekturpreis Berlin 2013, dem Sonderpreis Deutscher Städtebau 2014 und dem Deutschen Landschaftsarchitektur-Preis 2015.",,"Die Fotos zeigen Einrichtungsvorschläge, die Wohnung ist unmöbliert und farblich insgesamt in weiß gestaltet.","Das Objekt liegt im Gleispark, in Mitten von Kreuzberg, Schöneberg und Tiergarten. Hier sind Sie ganz nah dran, am Puls der Metropole und doch mitten im Grünen. Der Gleis Park schafft es beide Welten perfekt zu vereinen. 
Das Objekt wurde neu errichtet und das gesamte Ensemble wird fertig gestellt zu Beginn des Jahres 2020. 
Sie können sich also auf eine anspruchsvolle Architektur freuen.",0,52.50198453065087,13.373777787276804,n,no_information,,,2377,7131,1,380,3,115472219,,10785,,Penthouse mit Dachterrasse und Balkon im Gleis Park,https://api.mobile.immobilienscout24.de/expose/115472219?searchId=&nextgen=false,2757
"Schöneberger Ufer 5a 10785 Kreuzberg, Berlin",136.33,01.04.2020,y,1,1,2020,,,0,"Zwischen Kreuzberg, Tiergarten und Schöneberg, nicht weit vom Potsdamer Platz, liegt der Park am Gleisdreieck. Früher ein Bahnknotenpunkt mit industriell geprägtem Umfeld, heute gewachsene Wildnis und gestalteter Freiraum, erholsamer Rückzugsort und große Freiflächen. Der rund 26 Hektar große Park am Gleisdreieck ist ein generationsübergreifender Lieblingsort der Berliner - mitten in der Stadt. Der moderne Volkspark bietet viel Platz für Sportler, Spaziergänger, Sonnenanbeter und Picknick-Fans. 
Gut erreichbar mit allen Verkehrsmitteln und zu Fuß. Viele kulturelle Höhepunkte Berlins liegen in der Nachbarschaft.
Ausgezeichnet mit dem Architekturpreis Berlin 2013, dem Sonderpreis Deutscher Städtebau 2014 und dem Deutschen Landschaftsarchitektur-Preis 2015.",,"Die Fotos zeigen Einrichtungsvorschläge, die Wohnung ist unmöbliert und farblich insgesamt in weiß gestaltet.","Das Objekt liegt im Gleispark, in Mitten von Kreuzberg, Schöneberg und Tiergarten. Hier sind Sie ganz nah dran, am Puls der Metropole und doch mitten im Grünen. Der Gleis Park schafft es beide Welten perfekt zu vereinen. 
Das Objekt wurde neu errichtet und das gesamte Ensemble wird fertig gestellt zu Beginn des Jahres 2020. 
Sie können sich also auf eine anspruchsvolle Architektur freuen.",1,52.50198453065087,13.373777787276804,n,central_heating,,,3136,9408,1,490,4,115924383,,10785,,Maisonette mit Terrasse und Balkon im Gleis Park,https://api.mobile.immobilienscout24.de/expose/115924383?searchId=&nextgen=false,3626
"Allee der Kosmonauten 151a 12685 Marzahn, Berlin",61,sofort,y,0,1,1996,81,,4,"Das Objekt befindet sich in einer im Jahr 1996 erbauten modernen Wohnanlage.

Hier finden Sie unter anderem eine Apotheke, sowie Restaurants, in denen Sie Ihren Abend entspannt ausklingen lassen können. Fußläufig ist außerdem ein Lidl-Markt zu erreichen.

Die nächste Bushaltestelle ""Alle der Kosmonauten/Poelchaustr."" erreichen Sie nach nicht mal fünf Gehminuten. Hier halten die Buslinien ""191"" und ""291"", sowie die Tramlinien ""18"" und ""M8"", mit welchen Sie ganz bequem auch andere Teile Berlins erreichen können.

Wer es etwas grüner mag, erreich nach ca. 15 - 20 Minuten zu Fuß den ""Park Akazienwäldchen"", welcher zu gemütlichen Spaziergängen einlädt.",,"Hierbei handelt es sich um offene Besichtigungstermine, die keine Anmeldung benötigen. Der Treffpunkt wäre vor der Hauseingangstür.

Folgende Unterlagen sind bei Interesse an der Wohneinheit einzureichen:

- Einkommensnachweise der letzten 3 Monate
- Selbstauskunftsbogen
- Kopie des Personalausweises
 
Diese Unterlagen werden bitte an die vermietung@ado.berlin geschickt.

Es wird ausdrücklich darauf hingewiesen, dass die vorstehend angegebene Miete diejenige Miete ist, welche im Mietvertrag vereinbart werden wird. Vor dem Hintergrund des Berliner Mietendeckels (MietenWoG Bln) wird als Zahlbetrag bis auf Weiteres nur eine Nettokaltmiete von 495,93 € gefordert werden. Dabei wird sich der Vermieter im Mietvertrag die Nachforderung von Differenzen und zukünftig vollständige Zahlung insbesondere für den Fall vorbehalten, dass sich die Verfassungswidrigkeit oder sonstige Nichtigkeit des MietenWoG Bln (ganz oder teilweise im Hinblick auf die für die Miete nach dem MietenWoG Bln relevanten Teile) erweisen sollte, das MietenWoG Bln endet oder in sonstiger Weise außer Kraft tritt.


JS","Wichtig: Bitte lassen Sie uns eine Kontaktanfrage über das Exposé zukommen, sodass wir Sie bei Änderungen der Besichtigungstermine informieren können. Diesbezüglich empfehlen wir Ihnen auch das Exposé am Tag der Besichtigung auf Änderungen zu prüfen.
Sollte das Exposé deaktiviert sein, steht die Wohnung i.d.R. nicht mehr zur Verfügung.",0,52.53424567586998,13.550847314686585,y,district_heating,60,,518.69,3 Nettokaltmieten,1,110,2,116360731,,12685,,Gemütliche 2-Zimmerwohnung mit EBK und Balkon in moderner Wohnanlage!,https://api.mobile.immobilienscout24.de/expose/116360731?searchId=&nextgen=false,688.69
"Schöneberger Ufer 5a 10785 Kreuzberg, Berlin",91.06,01.04.2020,y,1,1,2020,,,0,"Zwischen Kreuzberg, Tiergarten und Schöneberg, nicht weit vom Potsdamer Platz, liegt der Park am Gleisdreieck. Früher ein Bahnknotenpunkt mit industriell geprägtem Umfeld, heute gewachsene Wildnis und gestalteter Freiraum, erholsamer Rückzugsort und große Freiflächen. Der rund 26 Hektar große Park am Gleisdreieck ist ein generationsübergreifender Lieblingsort der Berliner - mitten in der Stadt. Der moderne Volkspark bietet viel Platz für Sportler, Spaziergänger, Sonnenanbeter und Picknick-Fans. 
Gut erreichbar mit allen Verkehrsmitteln und zu Fuß. Viele kulturelle Höhepunkte Berlins liegen in der Nachbarschaft.
Ausgezeichnet mit dem Architekturpreis Berlin 2013, dem Sonderpreis Deutscher Städtebau 2014 und dem Deutschen Landschaftsarchitektur-Preis 2015.",,"Die Fotos zeigen Einrichtungsvorschläge, die Wohnung ist unmöbliert und farblich insgesamt in weiß gestaltet.","Das Objekt liegt im Gleispark, in Mitten von Kreuzberg, Schöneberg und Tiergarten. Hier sind Sie ganz nah dran, am Puls der Metropole und doch mitten im Grünen. Der Gleis Park schafft es beide Welten perfekt zu vereinen. 
Das Objekt wurde neu errichtet und das gesamte Ensemble wird fertig gestellt zu Beginn des Jahres 2020. 
Sie können sich also auf eine anspruchsvolle Architektur freuen.",0,52.50198453065087,13.373777787276804,n,central_heating,,,1912,5736,1,340,3,115473222,,10785,,Gleis Park Erdgeschoss Wohnung mit Terrasse,https://api.mobile.immobilienscout24.de/expose/115473222?searchId=&nextgen=false,2252
"Pommersche Str. 11 10707 Wilmersdorf, Berlin",62.85,ab sofort,y,1,1,2000,94.1,C,5,"Die Wohnung befindet sich in der Pommerschen Straße direkt gegenüber vom Preußenpark in einer ruhigen Seitenstraße nähe Fehrbelliner Platz und Olivaer Platz. Dieser Standort besticht durch die zentrale Lage in Berlin Wilmersdorf und durch die sehr gute Anbindung an das öffentliche Verkehrsnetz. 

Viele Restaurants, Cafes und Geschäfte des täglichen Bedarfs befinden sich in unmittelbarer Nähe.

///////////////////////////////////////////////////////////

The apartment is located on Pommersche Straße directly next to Preußenpark in a quiet side street near Fehrbelliner Platz and Olivaer Platz. This central location in Berlin Wilmersdorf has a very good connection to the public transportion.

Many restaurants, cafes and shops for daily needs are nearby.",,"Gerne vereinbaren wir mit Ihnen einen Besichtigungstermin. Senden Sie uns hierzu bitte eine E-Mail. 

! Weitere interessante Angebote finden Sie direkt auf unserer Internetseite unter www.milia-berlin.de ! 

Ihre Milia Immobilien

///////////////////////////////////////////////////////////

We are happy to arrange a visit with you. Please send us an e-mail.

Further interesting offers can be found directly on our website at www.milia-berlin.de!","Das ruhige 2 Zimmer Apartment mit Balkon  befindet sich im 5. Obergeschoss eines Neubaus aus dem Jahr 2000. Das Gebäudekomplex befindet sich auf einem begrünten Gelände mit mehreren Teichen und verschiedenen Bäumen und Pflanzen. Der Eingangsbereich im Ergeschoss ist mit zahlreichen Pflanzen begrünt.

Das Wohnhaus ist ein Bauwerk des Architekten Prof. Hinrich Baller. Geschwungene Balkone, filigrane Geländer, gewölbte Dächer, Wendeltreppen und verblüffende, offene Grundrisse sind nur einige Merkmale der außergewöhnlichen Kreativität dieses Architekten.

Das Projekt ""Wohnen am PREUSSENPARK"" weist viele dieser Elemente auf.  Im Fokus steht die Verbindung von Außen- und Innenraum. „Intime Gärten und Terrassenräume in einer dichten, großstädtischen Gebäudestruktur für ein Wohnen, das ökologischen Umgang mit der Natur und Zurückhaltung im Verbrauch der Ressourcen stehen in dem Mittelpunkt einer jeden Wohnung“, so beschreibt der Architekt  dieses Wohnobjekt.  

Die Wohnung ist frisch renoviert worden und mit komplett neuen Möbeln ausgestattet. Das lichtdurchflutete Wohnzimmer ist mit dem Küchenbereich verbunden. Der geräumige Balkon bietet einen schönen Blick zum Preußenpark.

Die Küche ist mit einer Einbauküche mit Kühlschrank, Spülmaschine, Backofen/Herd, Kaffeemaschine, Mikrowelle, Toaster, Wasserkocher, Teller/Besteck/Gläser/Töpfe etc. voll ausgestattet!!!

Das Wannenbad mit Waschmaschine und separatem WC ist modern gehalten.

Die Wohnung ist bezugsfrei ab sofort und wird möbliert vermietet.

Internet/Wifi ist in der Miete enthalten.

Mindestmietdauer: 3 Monate

Die hier angegebene Nettokaltmiete i.H.v. 1.253,82 € berechnet sich wie folgt:

Wohnung: 573,82 €
Keller: 100 € (im gesonderten Mietvertrag)
Möbel: 580 € (werden von einem Möbelverleihunternehmen vermietet)

Gerne können Sie das Apartment per angefügtes Video im Expose virtuell besichtigen!

Aufgrund der derzeitigen Situation bieten wir gerne Einzelbesichtigungen vor Ort an!

///////////////////////////////////////////////////////////

The quiet 1 room apartment with balcony is located on the 5th floor of a modern building that was build in 2000. The building complex is located on a green area with parts of ponds and various trees and plants. The entrance area on the ground floor is planted with numerous plants.

This building was designed by the architect Prof. Hinrich Baller. Curved balconies, filigree railings, vaulted roofs, spiral staircases and stunning open floor plans are just a few of the features of this architect's extraordinary creativity.

The project ""Living at the PREUSSENPARK"" shows many of these elements. The focus is on the connection between outside and inside. ""Intimate gardens and terrace rooms in a dense, metropolitan building structure for living, the ecological use of nature and restraint in the consumption of resources are the focus of every apartment,"" this is how the architect describes this residential property.

The apartment has been renovated and equipped with completely new furniture. The light-flooded living room is connected to the kitchen area. The huge balcony offers a nice view of the Preussenpark.

The kitchen is also fully equipped with a fitted kitchen with fridge, dishwasher, oven / stove, washing mashine, coffee mashine, microwave, toaster, kettle, plates / cutlery / glasses / pots, etc. !!!

The well kept bathroom with washing machine has a separate restroom.

The apartment is available from now on and will be  rented furnished.

Electricity, internet and TV cable are included in the rent.

Min. time of lease are 3 month.

You are welcome to take a virtual tour of the apartment by the attached video!

Because of the current situation we offer individual viewings!",0,52.49377549299691,13.314347642045878,n,central_heating,85,,1253.82,3 Nettokaltmieten,1,115,2,116204655,,10707,,Modernes und helles Apartment am Preußenpark - Komplett möbliert und ausgestattet - Video Rundgang,https://api.mobile.immobilienscout24.de/expose/116204655?searchId=&nextgen=false,1453.82
"Grimmstr.  24 12305 Lichtenrade (Tempelhof), Berlin",97,sofort,y,0,0,1996,,,2,"Die schöne Stadtvilla im Süden von Berlin liegt in einem ruhigen, bürgerlichen Wohngebiet mit vielen Einfamilienhäusern. Einkaufsmöglichkeiten, Ärzte und Schulen liegen in der Nähe. Durch den Bus-und S-Bahnanschluß ist eine schnelle Verbindung mit den öffentlichen Verkehrsmitteln in die Berliner Innenstadt gewährleistet.",,"Es wird ausdrücklich darauf hingewiesen, dass die vorstehend angegebene Miete diejenige Miete ist, welche im Mietvertrag vereinbart werden wird. Vor dem Hintergrund des Berliner Mietendeckels (MietenWoG Bln) wird als Zahlbetrag bis auf Weiteres nur eine Nettokaltmiete von 726,65 € gefordert werden. Dabei wird sich der Vermieter im Mietvertrag die Nachforderung von Differenzen und zukünftig vollständige Zahlung insbesondere für den Fall vorbehalten, dass sich die Verfassungswidrigkeit oder sonstige Nichtigkeit des MietenWoG Bln (ganz oder teilweise im Hinblick auf die für die Miete nach dem MietenWoG Bln relevanten Teile) erweisen sollte, das MietenWoG Bln endet oder in sonstiger Weise außer Kraft tritt.

Hierbei handelt es sich um offene Besichtigungstermine, die keine Anmeldung benötigen. Der Treffpunkt wäre vor der Hauseingangstür.

Folgende Unterlagen sind bei Mietvertragsabschluss vorzulegen:

- Einkommensnachweise der letzten 3 Monate
- Personalausweis
- Schufa Auskunft wird erst zum Vertragsabschluss fällig.

Zur Wahrung der Grundsätze der EU Datenschutz-Grundverordnung können bei den Besichtigungen leider keine Bewerbungsunterlagen in Papierform entgegen genommen werden. Bitte senden Sie Ihre vollständige Bewerbung nach dem Besichtigungstermin ausschließlich in elektronischer Form (z.B. als PDF) an folgende E-Mail Adresse: vermietung@ado.berlin. Vielen Dank für Ihr Verständnis.

RW","Besichtigung am 10.03. um 11:40 Uhr. Der Treffpunkt ist vor der Hauseingangstür.

Wichtig: Bitte lassen Sie uns eine Kontaktanfrage über das Exposé zukommen, sodass wir Sie bei Änderungen der Besichtigungstermine informieren können. Diesbezüglich empfehlen wir Ihnen auch das Exposé am Tag der Besichtigung auf Änderungen zu prüfen.
Sollte das Exposé deaktiviert sein, steht die Wohnung i.d.R. nicht mehr zur Verfügung.",0,52.398903958583226,13.399905414121884,n,central_heating,110,,876.4,3 Nettokaltmieten,0,220,3,115417984,,12305,,Schöne Maisonettewohnung im idyllischen Lichtenrade!,https://api.mobile.immobilienscout24.de/expose/115417984?searchId=&nextgen=false,1206.4
"Schöneberger Ufer 5a 10785 Kreuzberg, Berlin",61.93,01.04.2020,y,1,1,2020,,,3,"Zwischen Kreuzberg, Tiergarten und Schöneberg, nicht weit vom Potsdamer Platz, liegt der Park am Gleisdreieck. Früher ein Bahnknotenpunkt mit industriell geprägtem Umfeld, heute gewachsene Wildnis und gestalteter Freiraum, erholsamer Rückzugsort und große Freiflächen. Der rund 26 Hektar große Park am Gleisdreieck ist ein generationsübergreifender Lieblingsort der Berliner - mitten in der Stadt. Der moderne Volkspark bietet viel Platz für Sportler, Spaziergänger, Sonnenanbeter und Picknick-Fans. 
Gut erreichbar mit allen Verkehrsmitteln und zu Fuß. Viele kulturelle Höhepunkte Berlins liegen in der Nachbarschaft.
Ausgezeichnet mit dem Architekturpreis Berlin 2013, dem Sonderpreis Deutscher Städtebau 2014 und dem Deutschen Landschaftsarchitektur-Preis 2015.",,"Die Fotos zeigen Einrichtungsvorschläge, die Wohnung ist unmöbliert und farblich insgesamt in weiß gestaltet.","Das Objekt liegt im Gleispark, in Mitten von Kreuzberg, Schöneberg und Tiergarten. Hier sind Sie ganz nah dran, am Puls der Metropole und doch mitten im Grünen. Der Gleis Park schafft es beide Welten perfekt zu vereinen. 
Das Objekt wurde neu errichtet und das gesamte Ensemble wird fertig gestellt zu Beginn des Jahres 2020. 
Sie können sich also auf eine anspruchsvolle Architektur freuen.",0,52.50198453065087,13.373777787276804,n,central_heating,,,1362,4860,1,250,2,115473565,,10785,,Apartment mit Balkon im Gleis Park,https://api.mobile.immobilienscout24.de/expose/115473565?searchId=&nextgen=false,1612
