,address,area,building_year,facts,heizkosten,image,kaltmiete,kaution,keywords,nebenkosten,num_rooms,online_id,parking,text_ausstattung,text_description,text_lage,text_sonstiges,text_summary,title,url,warmmiete,postcode,Balcony_Terrace,Elevator
0,"10435 Berlin (Prenzlauer Berg), Danziger Straße 73",168.23,Baujahr 2016,"Personenaufzug, Einbauküche, Zentralheizung","630,86 €",https://media-pics1.immowelt.org/2/8/C/1/BCD9EDF2259C4276BC89A7E696191C82.jpg,2999.0,"8.997,00","Anzahl der Schlafzimmer: 3, 5 Etagen","630,86",4.0,2vxw74f,,"- Eichenparkett in allen Räumen
- modern gefliestes Wannenbad mit zusätzlicher Dusche
- Gäste WC
- 51qm Dachterrasse
- hochwertige und vollausgestattete Einbauküche
- 2 separate Loggien",,,"Baujahr: 2016
Heizungsart: Zentralheizung
Befeuerung/Energieträger: Fernwärme
Energieausweistyp: Bedarfsausweis
Energiekennwert: 79,9 kWh/(m²*a)
Der Indexmietvertrag wird für mindestens 24 Monate abgeschlossen.
_________________________________________________________
The index-linked contract shall be closed for 24 months.",PARAGON Apartments - 4 Zimmer Maisonette in Prenzlauer Berg,PARAGON Apartments - 4 Zimmer Maisonette in Prenzlauer Berg Wohnung Berlin (2VXW74F) ,https://www.immowelt.de/expose/2vxw74f,"630,86 €",10435,False,True
1,"10557 Berlin (Moabit), Klara-Franke-Straße 21",62.33,Baujahr 2019,"Balkon, Personenaufzug, Einbauküche, Zentralheizung",218 €,https://media-pics2.immowelt.org/F/A/8/1/892EC55D5DAE4666B3BBA80A484A18AF.jpg,1015.0,"3.045,00","Anzahl der Schlafzimmer: 1, Anzahl der Badezimmer: 1, Anzahl Balkone: 1",218,2.0,2vhtc4e,,"Diese 2-Zimmer-Wohnung teilt sich in zwei Bereiche. Nach Betreten der Wohnung befindet sich linkerhand das Wohnzimmer mit seiner offenen Küche und dem Zugang zu einer Terrasse. Rechterhand befindet sich das Schlafzimmer, was somit vom Wohnbereich gut getrennt ist. Im Eingangsbereich selbst befinden sich ein Badezimmer mit Dusche und ein Hauswirtschaftsraum, in dem eine Waschmaschine Platz findet. Dies ist definitiv eine Wohnung, bei der man sich nicht nur auf das nach Hause kommen freut, sondern auch gern Zeit verbringt - ganz gleich, ob allein, mit dem Partner oder mit Freunden.
Details:
- Ca. 2,65 m lichte Raumhöhe
- Einbauküche
- Design-Fußbodenbelag
- Fenster und Fenstertüren, Terrassen mit Wärmedämmverglasung
- Wärmeschutz gemäß EnEV 2014 unter Berücksichtigung der KfW70 (EnEV 2009)
- Sonnen-/Sichtschutz durch elektrisch gesteuerte Senkrechtmarkisen in allen Fenstern und Fenstertüren
- Fernwärme
- Aufzug
- Videogegensprechanlage
- Kellerabstellraum
- PKW-Stellplätze sowie E-Ladestationen in der Tiefgarage
- Fahrradstellplätze im Untergeschoss",,,"Vertriebsbüro Mittenmang Mieten
Lehrter Straße 23
10557 Berlin
Aktuell können wir keine Öffnungszeiten unseres Vertriebsbüros anbieten.
Persönliche Termine sind daher zurzeit nur nach vorheriger telefonischer Vereinbarung möglich.
Kontakt:
Tel.: +49 (30) 884593-883
Mail: info@mittenmang-mieten.de
Internet: www.mittenmang-mieten.de
Wir freuen uns auf Ihren Besuch.",Ihr zentraler Wohntraum mit moderner Einbauküche und Balkon,Ihr zentraler Wohntraum mit moderner Einbauküche und Balkon Etagenwohnung Berlin (2VHTC4E) ,https://www.immowelt.de/expose/2vhtc4e,218 €,10557,True,True
2,12527 Berlin (Grünau),79.29,Baujahr 2019,"Balkon, Gäste WC, Kelleranteil, Personenaufzug, Einbauküche, Neubau",280 €,https://media-pics1.immowelt.org/0/0/F/5/ED776DD73EE347E59FAAE797CF075F00.jpg,1150.0,"3.450,00","Tiefgarage vorhanden, Anzahl der Badezimmer: 1, Anzahl Balkone: 1, Balkon-Terrassen-Fläche: 17,00 m², 3 Etagen",280,3.0,2vbkg4e,,"Diese wunderschöne Wohnung mit seitlichem Wasserblick befindet sich in der 1. Etage und ist bequem mit dem Aufzug zu erreichen.
Dem beigefügten Grundriss können Sie die Anordnung der Räumlichkeiten entnehmen. Eine zeitgemäße, gehobene Ausstattung überzeugt durch eine raffinierte Raumaufteilung. Somit ist eine individuelle und optimale Möblierung möglich.
Die Highlights der Wohnung sind:
- Parkett
- Einbauküche
- 1 wunderschöne  große Terrasse
- innenliegendes Bad mit einer Doppeldusche
- Aufzug
- bodentiefe Fensterelemete
- absolute Helligkeit
- perfekter Grundriss
- wohnungsbezogener Tiefgaragenstellplatz
- Fußbodenheizung",,,"Eine Besichtigung können Sie gern telefonisch mit Frau Constanze Lobert, unter 0171-3331336 vereinbaren.
Mit dem integrierten Kontaktformular können Sie uns Ihr Interesse zu diesem Angebot übermitteln. Die dabei von Ihnen eingegebenen Daten werden über den Providerserver per E-Mail an uns weitergeleitet und umgehend gelöscht, sobald der Speicherzweck erfüllt ist und keine gesetzliche Aufbewahrungspflicht besteht. Eine Nutzung zu einem anderen Zweck oder eine Datenweitergabe an Dritte findet nicht statt.",Hier lässt sich's gut leben...,Hier lässt sich's gut leben... Etagenwohnung Berlin (2VBKG4E) ,https://www.immowelt.de/expose/2vbkg4e,280 €,12527,True,True
3,"10997 Berlin (Kreuzberg), Wrangelstr. 46",126.0,Baujahr 1874,saniert,100 €,https://media-pics1.immowelt.org/6/6/2/D/2E54708655934101A5E48605DD75D266.jpg,1386.0,"4.158,00","Bundesland: Berlin, 5 Etagen",100,3.0,2v78m4d,,"Bemerkungen:
Die Wohnung verfügt über zwei Etagen [4. sowie 5. Obergeschoss]. Sie befindet sich im Aufgang der Wrangelstraße. Sie besteht aus zwei bis vier Zimmern, einer Küche, einem Bad und einer Diele.
Die Zimmer, die Diele, sowie die Küche sind mit Holzdielen versehen. Das moderne Tageslichtbad ist gefliest und verfügt über eine Dusche, eine Toilette sowie ein Waschbecken.
Die Beheizung und Warmwasseraufbereitung der Wohnung erfolgen über eine Gasetagenheizung. Die Kosten hierfür sind nicht in der Miete enthalten, da sie direkt von der Mietpartei an den Gasversorger gezahlt werden.",,,"Heizungsart: Etagenheizung
Energieträger: Gas
Für eine Wohnungsbewerbung benötigen wir nach dem Besichtigungstermin eine aktuelle Auskunft über Einkommensverhältnisse, inklusive einer Auskunft der Schufa, eine Bestätigung des aktuellen Vermieters über pünktlich und vollständig geleistete Mietzahlungen, weitere Angaben zur Identität, etwa durch Vorlage des Personalausweises, sowie eine ausgefüllte Mieterselbstauskunft, die wir Ihnen nach der Besichtigung zukommen lassen.
Zwecks Terminvereinbarung zur Wohnungsbesichtigung bitte an folgende E-Mail-Adresse wenden: anett.maslowski@gmx.de
Makleranfragen nicht erwünscht",Altbauwohnung [Neubau: 126m² Gesamtfläche] direkt im Wrangelkiez,Altbauwohnung [Neubau: 126m² Gesamtfläche] direkt im Wrangelkiez Etagenwohnung Berlin (2V78M4D) ,https://www.immowelt.de/expose/2v78m4d,100 €,10997,False,False
4,10823 Berlin (Schöneberg),232.0,Baujahr 2020,"Terrasse, Personenaufzug, Einbauküche, Dielenboden",300 €,https://media-pics2.immowelt.org/F/8/1/2/F2B68F5BA1F7424AA07511EFC31A218F.jpg,3944.0,,"Nutzfläche: 232,00 m², Gesamtfläche: 232,00 m², Anzahl der Schlafzimmer: 5, Anzahl der Badezimmer: 2, Anzahl Terrassen: 1, Bundesland: Berlin, 5 Etagen",300,6.0,2v8c74f,,"Abstellkammer
Einbauküche",,,,Spektakuläres Penthouse mit Aufdachterrasse im Akazienkiez - Erstbezug!,Spektakuläres Penthouse mit Aufdachterrasse im Akazienkiez - Erstbezug! Apartment Berlin (2V8C74F) ,https://www.immowelt.de/expose/2v8c74f,300 €,10823,True,True
5,"10785 Berlin (Tiergarten), Lützowufer 14",52.2,Baujahr 1989,"Wohnberechtigungsschein erforderlich, Terrasse, Kelleranteil, Personenaufzug, Einbauküche",125 €,https://media-pics2.immowelt.org/9/F/6/F/A6045C2AE91641F595ADB1BE44C3F6F9.jpg,575.46,"1.726,38",Anzahl Terrassen: 1,125,1.5,2vqal4d,,Aufzug; Türsprechanlage; Warmwasserbereiter; Einbauküche; Waschmaschinenanschluss; Kellerraum; Abstellkammer; Elektroheizung; Bodenbelag PVC; Sat-Anlage/Kabel; Außenbeleuchtung; Terrasse;,,,"WBS erforderlich. Der Wohnberechtigungsschein (WBS) ist eine Bescheinigung, mit der ein Mieter nachweislich berechtigt ist, aufgrund seiner Einkommenshöhe eine mit öffentlichen Mitteln geförderte Sozialwohnung zu bewohnen. Den Wohnberechtigungsschein erstellt das zuständige Wohnungsamt. Bitte klären Sie hier im Vorfeld ab, ob Sie Anspruch auf einen Wohnberechtigungsschein haben.
Die Kabelgebühren sind bereits in den Nebenkosten enthalten.
Die Internetgeschwindigkeit in dieser Wohnung beträgt bis zu 500 Mbit/s. Hinweise darüber, wie die Vonovia Ihre personenbezogenen Daten als Interessent verarbeitet, erhalten Sie unter www.vonovia.de/datenschutzinformation. Alle Angaben in diesem Exposé wurden sorgfältig und so vollständig wie möglich gemacht. Gleichwohl kann das Vorhandensein von Fehlern nicht ausgeschlossen werden. Die Angaben in diesem Exposé erfolgen daher ohne jede Gewähr. Maßgeblich sind die im Mietvertrag geschlossenen Vereinbarungen. Soweit die Grundrissgrafiken Maßangaben und Einrichtungen enthalten, wird auch für diese jegliche Haftung ausgeschlossen. Mietverhandlungen sind ausschließlich über den benannten Ansprechpartner zu führen. Mietpreisänderungen bleiben vorbehalten.
Buchen Sie rund um die Uhr online Ihren Besichtigungstermin unter www.vonovia.de.",+++WBS mit BESONDEREM WOHNBEDARF zwingend erforderlich+++,+++WBS mit BESONDEREM WOHNBEDARF zwingend erforderlich+++ Etagenwohnung Berlin (2VQAL4D) ,https://www.immowelt.de/expose/2vqal4d,125 €,10785,True,True
6,"13599 Berlin (Haselhorst), Zernseestr. 7",63.19,Baujahr 2020,"Balkon, Personenaufzug","132,70 €",https://media-pics2.immowelt.org/F/4/4/6/CAB5F0D7C81E4B18B2AF6C9F175F644F.jpg,695.09,"2085,27","Anzahl Balkone: 1, 5 Etagen","132,70",2.0,2vbl34d,,"Breitbandkabel, Ww-Erzeugung dezentral Wärmetauscher, Bad, Barrierearme Wohnungsgestaltung",,,"Weitere aktuelle Inserate finden Sie unter www.gewobag.de. Sie erreichen uns tagsüber telefonisch unter 0800 4708-800 oder persönlich in unseren Quartierbüros. Die Öffnungszeiten erfahren Sie unter www.gewobag.de/quartierbueros.
Unsere Angebote sind provisionsfrei. Als Mieter zahlen Sie für die Vermittlung des Mietvertrags keine Provision, sofern Sie nicht selbst einen Vermittler/Makler beauftragt haben. Im Auftrag der Gewobag tätige Vermittler werden keine Provision von Ihnen verlangen.",WATERKANT Neubau Erstbezug,WATERKANT Neubau Erstbezug Etagenwohnung Berlin (2VBL34D) ,https://www.immowelt.de/expose/2vbl34d,"132,70 €",13599,True,True
7,"12045 Berlin (Neukölln), Wildlenbruchstraße 71",53.0,Baujahr 2020,"Balkon, Kelleranteil, renoviert, saniert, Dielenboden, Zentralheizung, frei",65 €,https://media-pics2.immowelt.org/A/0/4/A/3637B41872014A32B005C741650DA40A.jpg,820.0,,,65,2.0,2vpud4e,,"Diese komplett neu sanierte Wohnung hat 2 Zimmer mit hohen Stuckdecken und alten Türen.
Die Wohnung wurde frisch saniert und projektiert umgebaut. Alle Wohn- und Schlafzimmer verfügen über Multi-Media Anschlüsse.
Die Wohnung verfügt über Glattputzwände und ist mit restaurierten, abgezogenen Dielenboden versehen. In den Decken im Flur und im Bad sowie der Küche sind moderne LED Leuchten eingebaut.
Die Küche hat ebenfalls Dielenboden, ist teils gefliest und bietet eine Sitzmöglichkeit.
Das neu entworfene, geflieste Duschbad verfügt über eine große Dusche mit Glasabrennung und Fenster. Ein moderner Waschtischunterschrank und LED Beleuchtung gehören zur Ausstattung dazu.
Die Wohnung verfügt über einen Sonnenbalkon mit freiem Weitblick nach Süden.
Die Beheizung erfolgt über eine zentrale Heizungsanlage mit Fernheizung.",,,"Anschauen lohnt sich!
Diese sehr schöne neuwertige, frisch sanierte Wohnung in super Lage, wird im Erstbezug für die Dauer von 2 Jahren vermietet.
Sehr beliebte Wohnlage in exponierter Umgebung
****************************************************************","+++ Unweit des Kanals am Kiehlufer/ Weigandufer, Erstbezug, neu sanierte sonnige 2 Zimmer Altbauwohnung mit Balkon +++","+++ Unweit des Kanals am Kiehlufer/ Weigandufer, Erstbezug, neu sanierte sonnige 2 Zimmer Altbauwohnung mit Balkon +++ Wohnung Berlin (2VPUD4E) ",https://www.immowelt.de/expose/2vpud4e,65 €,12045,True,False
8,"10439 Berlin (Prenzlauer Berg), Malmöer Straße 18",55.0,Baujahr 2019,"Balkon, Kelleranteil, Personenaufzug, Einbauküche, Zentralheizung",175 €,https://media-pics2.immowelt.org/F/E/E/1/5C1668095001419F86FC8CD7B0141EEF.jpg,1100.0,"3.300,00","West-Balkon/Terrasse, Nutzfläche: 55,00 m², Gesamtfläche: 55,00 m², Anzahl der Schlafzimmer: 1, Anzahl der Badezimmer: 1, Anzahl Balkone: 1, Bundesland: Berlin, 5 Etagen",175,1.0,2vsf44d,,Einbauküche,,,,Erstbezug: Studio-Apartment in Prenzlauer Berg!,Erstbezug: Studio-Apartment in Prenzlauer Berg! Apartment Berlin (2VSF44D) ,https://www.immowelt.de/expose/2vsf44d,175 €,10439,True,True
9,"10245 Berlin (Friedrichshain), Stralauer Allee 14a",127.0,Baujahr 2019,"Terrasse, Gäste WC, seniorengerechtes Wohnen, Personenaufzug, Einbauküche, Zentralheizung",320 €,https://media-pics2.immowelt.org/A/2/9/C/D14495FC87D447A7BEF53010FF66C92A.jpg,2500.0,"7.500,00","Stellplatz vorhanden, Garage vorhanden, Nutzfläche: 127,00 m², Gesamtfläche: 127,26 m², Anzahl der Schlafzimmer: 2, Anzahl der Badezimmer: 2, Anzahl Terrassen: 1, Balkon-Terrassen-Fläche: 22,70 m², Bundesland: Berlin, 7 Etagen",320,3.0,2vptq4e,,"Einbauschränke
Doorman
Abstellkammer
Einbauküche
Wasserblick
unverbaute Sicht",,,,"Spektakulärer Wasserblick im Neubau ""The Wave""!","Spektakulärer Wasserblick im Neubau ""The Wave""! Apartment Berlin (2VPTQ4E) ",https://www.immowelt.de/expose/2vptq4e,320 €,10245,True,True
