,Balcony_Terrace,Elevator,area,num_rooms,postcode,kaltmiete
0,True,False,67.62,2.0,12349,641.04
1,True,True,101.38,3.0,10587,1890.0
2,True,True,89.0,3.0,10717,1365.0
3,False,True,135.0,3.0,10178,3120.0
4,False,True,24.0,1.0,10557,750.0
5,False,True,35.04,1.0,10178,1051.0
6,False,False,126.0,3.0,10117,3000.0
7,True,False,173.0,5.0,14195,2673.39
8,True,True,41.2,2.0,10317,780.0
9,True,True,185.5,4.0,10178,3216.57
10,True,True,391.1,8.5,10178,6062.05
11,False,False,32.0,1.0,10245,521.0
12,True,True,101.6,2.0,10178,1502.66
13,True,True,150.0,3.0,10178,2448.0
14,True,False,20.0,1.0,10115,780.0
15,True,False,114.0,3.5,14195,1890.0
16,False,True,155.0,3.0,10117,2000.0
17,True,True,109.78,4.0,10115,1866.26
18,False,True,76.73,2.0,13585,630.0
19,False,False,27.0,1.0,12487,480.0
20,False,True,25.0,1.0,10178,590.0
21,True,True,127.0,3.0,10245,2500.0
22,False,False,41.89,1.0,10551,547.0
23,True,True,165.0,3.5,10367,2227.5
24,True,False,60.0,2.0,12167,427.59
25,True,False,73.0,3.0,12159,523.15
26,True,True,54.0,2.0,10245,1015.0
27,True,True,175.4,4.5,10178,4034.2
28,True,False,50.0,2.0,12203,390.82
29,True,True,79.71,3.0,12557,992.46
30,True,True,92.19,4.0,13581,945.0
31,True,False,95.95,3.0,12557,900.0
32,True,True,116.0,3.0,10719,1900.0
33,True,True,54.0,2.0,14199,988.0
34,True,True,88.96,3.0,14199,1300.0
35,True,True,47.53,2.0,10557,1193.0
36,False,True,68.0,2.0,10117,2720.0
37,True,False,75.0,3.0,13086,1025.0
38,True,True,138.0,1.0,10119,1940.3
39,False,True,23.62,1.0,10629,870.0
40,False,True,20.0,1.0,10179,538.0
41,False,False,48.81,1.0,10317,654.0
42,False,True,42.0,1.0,10785,895.0
43,False,False,73.41,2.0,10439,1299.0
44,True,True,78.8,2.0,10117,1576.0
45,True,False,71.0,2.0,13505,723.49
46,True,True,62.0,2.0,10969,750.0
47,False,True,63.84,2.5,13587,609.0
48,True,True,132.94,4.0,10785,1994.1
49,True,True,174.49,4.0,10178,2617.35
50,True,True,105.42,2.0,10117,2123.46
51,True,True,231.03,5.0,10117,4652.28
52,True,True,69.11,2.0,14199,1050.0
53,True,False,64.58,2.0,13158,910.0
54,True,True,101.24,3.0,12205,1417.67
55,True,True,58.0,2.0,10557,1298.0
56,True,False,32.0,1.0,10551,276.17
57,True,True,69.77,2.0,10405,1370.0
58,False,False,64.0,2.0,13597,510.53
59,True,True,38.0,1.0,10963,285.74
60,False,True,23.0,1.0,10557,740.0
61,True,False,93.9,3.0,13158,1280.0
62,True,False,98.0,4.0,13585,673.92
63,True,False,79.0,2.5,14052,1100.0
64,True,True,89.69,3.0,14199,1550.0
65,True,True,56.0,2.0,12557,583.0
66,True,True,190.4,4.0,10178,3617.6
67,True,False,76.0,2.0,10405,1449.0
68,True,True,190.4,5.0,10178,3495.74
69,False,True,19.07,1.0,10179,644.11
70,True,False,85.0,3.0,14195,1140.0
71,True,True,172.0,4.0,14050,2489.0
72,True,False,201.0,3.0,10179,4950.0
73,True,True,125.46,3.0,10785,1990.0
74,True,False,105.76,3.0,12557,1053.0
75,True,True,46.87,1.0,10785,877.0
76,False,False,56.0,2.0,13585,417.21
77,True,False,95.1,3.0,12309,1011.86
78,True,True,133.0,4.0,13187,2100.0
79,True,False,130.84,4.0,12557,1308.4
80,True,False,108.56,3.0,13347,1656.63
81,True,False,171.0,5.0,13086,2565.0
82,True,True,88.52,4.0,10715,1416.0
83,True,False,81.0,3.0,10629,1350.0
84,True,True,163.0,3.0,10249,1850.0
85,True,True,58.37,2.0,13158,875.55
86,True,False,64.31,2.0,13189,580.0
87,True,True,168.23,4.0,10435,2999.0
88,True,True,74.0,2.0,10318,1050.0
89,True,False,70.0,2.0,13355,1120.0
90,False,True,120.25,3.0,10715,1296.0
91,False,True,24.0,1.0,14129,440.0
92,False,False,102.56,3.0,13409,1480.0
93,True,True,147.4,4.0,14129,2400.0
94,True,True,125.49,3.0,10785,1990.0
95,True,False,57.3,2.0,13347,1133.39
96,True,False,54.28,2.0,13347,1291.86
97,True,True,118.0,4.0,10315,1298.0
98,False,False,103.3,4.0,13347,1649.7
99,True,True,80.0,3.0,10629,1540.0
100,True,False,82.0,2.0,10965,909.0
101,True,True,84.24,3.0,12527,1095.12
102,True,True,228.27,6.5,14199,2442.5
103,True,False,230.0,5.0,12249,1869.9
104,True,True,94.0,3.0,12163,1739.0
105,False,False,44.15,2.0,13359,612.0
106,False,False,67.0,2.0,13409,603.0
107,False,True,64.0,2.0,10785,1550.0
108,True,True,66.0,2.0,10439,1170.0
109,True,True,42.0,1.0,10557,850.0
110,False,False,60.0,3.0,13059,700.0
111,True,False,89.15,3.0,13125,1158.95
112,True,False,62.9,2.0,13125,554.06
113,True,True,110.0,3.0,10117,1544.9
114,False,False,0.0,1.0,10117,1450.0
115,True,True,151.0,3.0,10439,2873.56
116,True,True,72.12,2.0,10439,628.16
117,False,True,66.03,3.0,10247,1456.0
118,False,True,45.19,2.0,10405,680.0
119,False,False,90.0,3.5,10409,1299.6
120,True,False,10.0,1.0,10557,660.0
121,True,True,53.6,2.0,10439,1197.0
122,True,True,126.0,3.0,10785,2720.0
123,True,True,143.54,3.5,10179,3265.42
124,False,True,115.84,2.5,10707,2556.0
125,True,True,153.69,4.0,13187,2151.66
126,True,True,126.78,4.0,10557,1996.0
127,True,True,132.87,3.0,10117,1999.69
128,False,True,136.16,3.0,10963,2100.0
129,False,False,68.0,2.0,12459,504.53
130,True,False,98.79,2.0,14109,1180.0
131,True,True,171.76,4.5,12205,2305.02
132,True,True,55.0,2.0,10587,1600.0
133,True,False,60.0,2.0,13403,419.17
134,True,False,41.0,1.0,14199,291.18
135,False,False,54.84,2.0,12555,493.56
136,True,False,39.0,1.0,12051,339.95
137,True,False,63.0,2.0,13125,548.6
138,True,True,112.26,4.0,14059,1800.0
139,True,False,57.0,2.0,14109,446.5
140,False,True,82.05,3.0,12459,1230.75
141,True,True,101.15,3.0,10785,1700.0
142,False,False,75.0,3.0,13125,650.88
143,True,True,49.0,2.0,12057,317.38
144,True,False,37.0,1.0,14109,366.05
145,True,True,159.4,3.0,10178,2194.94
146,True,True,69.0,2.0,14059,1350.0
147,True,True,115.5,3.0,10707,1990.0
148,False,True,115.23,3.0,10785,1840.0
149,True,True,80.02,3.0,13593,1220.0
150,True,False,90.42,3.0,13347,1937.7
151,True,False,190.0,4.5,14195,3600.0
152,True,True,88.0,3.0,10787,2200.0
153,False,False,30.0,1.0,10963,227.47
154,True,True,77.09,3.0,12589,824.11
155,True,False,44.0,2.0,13055,352.0
156,True,True,54.72,2.0,10405,1095.0
157,True,False,78.83,3.0,12557,730.0
158,True,True,123.0,4.0,12163,2527.0
159,True,False,91.0,3.0,12205,1100.0
160,True,True,67.0,2.0,13409,450.52
161,True,True,96.81,3.0,10623,1850.0
162,True,True,23.37,1.0,10825,525.0
163,True,False,93.98,4.0,13581,1080.0
164,True,True,51.0,2.0,12435,1275.0
165,True,False,58.0,2.0,13583,431.05
166,True,False,75.31,3.0,13407,750.0
167,True,True,95.8,4.0,10179,1799.0
168,True,False,31.0,1.0,10405,310.0
169,True,True,146.98,4.0,10825,2998.39
170,True,True,72.34,2.0,12103,940.0
171,True,False,55.0,2.0,10245,930.0
172,True,False,267.0,7.0,10825,2770.0
173,True,True,72.0,2.0,12557,1080.0
174,True,True,98.92,3.0,10179,1979.0
175,True,True,24.1,1.0,10715,540.0
176,True,False,73.5,3.0,13407,690.0
177,True,True,120.0,3.0,10963,2990.0
178,False,True,168.23,4.0,10435,2999.0
179,True,True,62.33,2.0,10557,1015.0
180,True,True,79.29,3.0,12527,1150.0
181,False,False,126.0,3.0,10997,1386.0
182,True,True,232.0,6.0,10823,3944.0
183,True,True,52.2,1.5,10785,575.46
184,True,True,63.19,2.0,13599,695.09
185,True,False,53.0,2.0,12045,820.0
186,True,True,55.0,1.0,10439,1100.0
187,True,True,127.0,3.0,10245,2500.0
188,True,True,102.86,4.0,13089,1018.31
189,True,True,107.15,4.0,10557,1819.0
190,True,False,171.9,5.0,14195,2853.1
191,True,True,84.44,3.0,10557,1195.0
192,True,True,88.99,4.0,10369,515.88
193,False,False,52.83,1.5,13403,488.68
194,True,True,101.6,2.0,10178,1502.66
195,True,True,150.0,3.0,10178,2448.0
196,True,True,391.1,8.5,10178,6062.05
197,True,True,56.26,2.0,13599,618.86
198,False,True,47.0,1.0,12555,752.0
199,True,True,190.4,4.0,10178,3617.6
200,True,True,81.68,3.0,12489,750.64
201,True,True,185.5,4.0,10178,3216.57
202,False,False,42.0,1.0,10245,900.0
203,False,True,85.29,4.0,10315,1322.0
204,True,False,201.0,3.0,10179,4950.0
205,False,False,42.0,1.0,10245,900.0
206,False,False,155.0,3.0,10117,2000.0
207,False,False,144.0,5.0,12203,1374.0
208,False,False,37.0,1.0,10439,709.25
209,True,False,104.0,4.0,14169,800.0
210,True,True,87.59,3.0,13187,990.0
211,True,False,119.0,4.0,13125,1798.0
212,True,True,190.4,5.0,10178,3495.74
213,False,True,69.45,2.0,10405,1076.48
214,True,False,73.87,3.0,12627,699.0
215,True,True,146.0,4.0,10249,2590.0
216,False,False,47.67,1.0,10829,962.96
217,True,True,87.0,3.0,10557,1340.0
