address,area,attic,available_from_date,available_to_date,balcony,bath,bath_availability,bike_cellar,cable_tv,carpet,cellar,dishwasher,elevator,energy_building_year,energy_certificate_type,energy_consumption,energy_efficiency_class,energy_source,flatmates_aged_from,flatmates_aged_to,flatshare_friendly,floor_level,floorboards,freetext_area_description,freetext_other,freetext_property_description,furnished,garden,geo_latitude,geo_longitude,green_energy,guest_toilet,handicap_accessible,heating,image,internet_dsl,internet_dsl_speed,internet_flatrate,internet_provider_change,internet_wlan,kaltmiete,kaution,kitchen_availability,laminate,languages,linoleum,nebenkosten,num_rooms,offer_id,offer_in_exchange,online_tour,parking_option,parquet,partly_furnished,pets_allowed,phone_analog,phone_flatrate,phone_isdn,phone_voip,postcode,public_transport_in_minutes,satellite_tv,shared_garden,shower,smoking_is_allowed,terrace,tiles,title,underfloor_heating,url,warmmiete,washing_machine
Oderstraße,63,0,2020-08-01,0000-00-00,1,1,0,1,,0,1,1,0,1930,,,,6,,,1,5,1,,,"Wir tauschen unsere wunderschöne, ruhige und sonnige 2-Zimmer-Wohnung mit Balkon direkt am Tempelhofer Feld gegen eine 3-4 Zimmerwohnung in vergleichbar schöner, grüner und ruhiger Lage für nicht mehr als 1200 Warmmiete bitte!

Die Wohnung ist ca. 63 qm groß und verfügt über zwei Zimmer, ein Zimmer 18qm und das andere 22 qm mit Balkon 

4. Stock und gleichzeitig auch das oberste Stockwerk!

Badezimmer: gefließt mit Badewanne

Küche: vollständig möbliert mit Steinboden

geräumiger Keller

ruhige und nette Nachbarn

Die Wohnung kann offziell in 3 Monaten oder bei Übernahme der Wohnung im Ist-Zustand sofort vermietet werden! Sie können mich gerne jederzeit kontaktieren und sich die Wohnung anschauen!",0,0,52.472132,13.419986,0,0,2,4,,,,,,,600,1800,0,0,,0,218,2,5574837,,,1,0,1,,,,,,12049,5,,0,1,,1,0,Tausche sonnige 2-Zimmerwohnung mit wunderschönem Ausblick und Balkon gegen eine 3/4 Zimmer-Wohnung in vergleichbar grüner&schöner! Lage!!! Only in exchange!,0,,818,1
Graefestrasse 71,135,0,2020-06-07,0000-00-00,0,0,0,0,,0,0,0,0,,,,,,,,1,4,0,,,"Hallo Ihr!
Wir vermieten die Hälfte unserer Fabriketage , juhuuu!
Ganze 135 qm gehen sicher an euch und falls ihr noch mehr braucht, evtl auch sogar noch ein 25 qm Zimmer mehr.
Ab wann?
Sofort! Gleich!
Realistisch ab 1.7. 😊

Wo: 
Haltet euch fest,
jaa, tatsächlich, 
Im Holy, glorius, shiny and sparkling GRAEFEKIEZ.
Deswegen folgt diesem Geprahle auch der katastrophal unverschämte Preis von 2000-2500 Euro all in all. Je nachdem ob 135 oder 160 qm euers werden. Es ist zum kotzen, wir wissen es . Leider können wir nichts daran ändern, das ist nun mal unsere Miete.
Was die Räume hergeben:
Erstens: die Bilder sind nur momentan eingerichtet von uns, das sieht natürlich dann ganz anders aus.
Wenig Raum für eine Wg, weil ein riesen Durchgangszimmer. Für Familien oder Wg- mit Paaren, YESS!!!
Leider keine Techno-Berlinhighlife-Party Wg, das klappt hier leider nicht. Sorry :/
Es sind insgesamt 4-5 Räume von 10qm- 50qm , in dem eines eure Wohnküche wird, je nachdem wer und wie und was. Es gibt ein mini Bad, mit skills und knete lässt sich das aber vergrößern.
Leider wird auch eine Ablöse fällig, wir mussten auch eine zahlen beim Eunzug, wollen nicht so weiter machen aber die Menschen die ausziehen brauchen leider dringend das Geld. Wir können da dann in Ruhe drüber reden.
Am liebesten wären uns auch noch Tauschangebote in der Nähe, wir suchen dringend Raum!

Zu euren direkten Nachbarn : Wir sind eine queere* Patchworkfamiliy, echt nett und so. Aber mehr dazu in RL dann.
Wir freuen uns auf euch!
Bis dann",0,0,52.489601,13.415131,0,0,2,0,,,,,,,1500,4500,0,0,,0,500,3,8036377,,,0,0,0,,,,,,10967,0,,0,1,,0,0,Fabriketagenloft zu vermieten,0,,2000,0
Schwyzer Strasse 26a,53,0,2020-07-01,0000-00-00,1,0,0,0,,0,0,0,0,,,,,,,,2,2,0,,,"Hallo zusammen,

Ich biete eine wunderschöne kleine und sehr gut ausgestattete Wohnung mit 2-Zimmern, einem Balkon und Vollbad, in Wedding zum Tausch an, gegen eine 1.5 bis 3 Zimmer-Wohnung mit Balkon, idealerweise nah zu BVG U1/U3 oder S Bahn Richtung Warschauer Strasse. Generell sollten es max 20-30 min zur U/S Warschauer Str dauern. Die max Warmmiete soll 700 für 2 Zimmer Wohnung und 800 für 3 ZW sein.

Meine Wohnung ist wirklich schön, hell, großzügig geschnitten, modern und ruhig sowie gut angebunden mit S-Bahn, U-Bahn und Bus. Sie liegt direkt am Schillerpark (Europa Viertel) und Nähe der Rehberge und Plötzensee. Auch der Schäfersee ist nur 3 Minuten zu Fuß entfernt.
Die Haltestellen umliegende sind Franz-Neumann-Platz, Osloer Strasse, Seestrasse und Luise Schröder-Platz sowie Bushaltestellen. Sie hat ca 53 qm und einen Balkon. Für die Küche und Boden im Schlafzimmer (selbst verlegt) hätte ich gern Abstand. Im Flur gibt es einen Einbauschrank, sowie ein Regal und Tresen in der Küche, welche ich kostenfrei überlassen würde. Über weitere Möbelstücke können wir gerne sprechen. Kaltmiete liegt derzeit bei aufgerundet 524 Euro.

Warum tauschen? Es wird Zeit für einen Tapetenwechsel :-) Neuer Lebensabschnitt, neue Eindrücke, neues Wohnumfeld.

Ich bin 29 Jahre alt, eine ruhige und ordentliche Mieterin. Seit 4.5 Jahren Vollzeit im Beruf und lebe alleine seither. Nicht von Kurzarbeit betroffen gewesen!
Ich mache gerne Yoga, lese, Meditiere, Koche, Reise, bin viel in der Natur und treffe Freunde.

Umzugsdatum flexibel. Ich freue mich über (Tausch) Angebote.",0,0,52.559822,13.358755,0,0,2,0,,,,,,,524,,0,0,,0,,2,8027612,,,0,0,0,,,,,,13349,0,,0,0,,0,0,Tausch / Swap only,0,,524,0
Paulsborner Straße 92,67,0,2020-07-01,0000-00-00,0,1,0,1,,0,1,0,0,,,,,,,,1,4,1,,,"Hey, ich würde gern meine schöne Zweizimmerwohnung in der Paulsborner Straße gegen eine Einzimmerwohnung tauschen.
Meine Wohnung liegt in einem malerischen Hinterhof, verfügt über sehr hohe Räumen und ist ausgesprochen hell. Zudem befindet sich in einem Zimmer ein Hochbett,  dass fast einer zweiten Ebene gleicht. 
Da sich meine WG auflöst,würde ich nun gern in eine Einzimmerwohnung ziehen.

Ich  würde mich über ein Wohnung in den Stadteilen, Moabit,  Wedding, Neokölln, Kreuzberg, Friedrichshain oder Prenzlauer Berg freuen. Ein Balkon wäre sehr wünschenswert, ist aber kein zwangsläufiges Muss. Die Wohnung sollte  idealerweise Typ Altbau sein und mindestens 35-40qm haben und nicht mehr als 550 warm kosten.
Für mehr infos, schreibt mich gern an.",0,0,52.497945,13.306287,1,0,2,1,,,,,,,580,1100,1,0,,0,220,2,8014462,,,0,0,0,,,,,,10709,0,,0,0,,0,0,Tausche Zweizimmerwohnung Charlottenburg-Wilmersdorf gegen Einzimmerwohnung,0,,800,0
Atzpodienstraße,76,0,2020-03-01,2016-03-31,1,1,0,0,,0,1,0,0,,,,,,,,1,3,1,"Für uns ist die Lage wirklich super, da: Ubahn Station Magdalenenstraße 5min Gehzeit, Bahnhof Lichtenberg 8min Gehzeit, Ringbahn Frankfurter Allee 15min Gehzeit. Demnach haben wir eigentlich alles was man benötigt direkt vor der Haustür. Lidl 3min Gehzeit alle anderen Supermarktketten ca. 10min Gehzeit. Mit dem Fahrrad alles schnell zu erreichen. Hier wäre uns auch etwas vergleichbares wichtig, also Ubahn oder Sbahn sollte um die Ecke sein.","Was wir suchen:

Mind. 2,5 Zimmer
Balkon
mind 1.Stock
Keller
Holzboden/ Dielen
Altbau
gute öffentliche Anbindung

Die aktuelle Gesamtmiete (mit wirklich allem eingeschlossen auch Internet) sind 891€. Unsere neue Schmerzgrenze liegt bei 1100€ warm.
Bezirke: FHain, Kreuzberg, PBerg, Neukölln, Lichtenberg, Tempelhof, Schöneberg oder Mitte

Bitte nur schreiben, wenn ihr ebenfalls eine Wohnung zum Tausch habt!","Tapetenwechsel

Nach fünf Jahren brauchen wir dringend eine Veränderung und suchen eine vergleichbare Wohnung in FHain, Kreuzberg, PBerg, Neukölln, Lichtenberg, Tempelhof, Schöneberg oder Mitte. Wir haben zwei sehr große Zimmer mit tollen Holzdielen, schöner Stuck… die Wohnung ist super geschnitten und eignet sich auch für eine WG, da beide Zimmer relativ gleich groß sind. Das Schlafzimmer geht zum Hinterhof raus, es ist daher wirklich sehr ruhig und angenehm zum Schlafen. Wohnzimmer mit Balkon groß genug um zu Entspannen, zu Frühstücken und Blumen o.ä. anzupflanzen. Der Balkon ist überdacht. Ausrichtung Osten, daher morgens bis ca. 13:30Uhr Sonne. Ansonsten saniertes Bad und sanierte Küche, jedoch nur mit Herd sonst leer. Sehr geräumig und groß.",0,0,52.515224,13.493451,1,0,2,2,,,,,,,767,,0,0,,0,124,2,5410437,,,1,1,0,,,,,,10365,5,,1,0,,0,0,"Tausch/ Swap: schöne 2-Zimmer Altbauwohnung gegen mind. 2,5",0,,891,0
Dominicustrasse,62,0,2020-04-06,0000-00-00,0,1,0,0,,0,0,0,0,1900,2,97,4,6,,,2,4,0,"Bus M46 vor der Tür. Rechts um die Ecke, eine Minute zu Fuß, ist der S-Bhf. Schöneberg (Ringbahn). Von dort ist man in zehn Minuten in Mitte am S-Bhf.Friedrichstraße oder am S-Bhf. Potsdamer Platz oder am Kurfürstendamm (S-Bhf. Halensee). Der Fernbahnhof Südkreuz ist nur eine Station entfernt. Zum Flughafen Schönefeld 30 Minuten direkt mit der S-Bahn, zum Flughafen Tegel 30 Min. mit der S- Bahn bis Jungfernheide und dem Bus 109. Die Autobahn A 100 ist mit dem Auto eine Minute entfernt.

Bus M 46. If you turn right, when leaving the house, you’ll find the S-Bahn station Schöneberg (Ringbahn( just a minute’s walk away. From here you can reach the centre of town (Berlin Mitte) via these stations in just 10 minutes train ride: Friedrichstrasse, Potsdamer Platz or Kurfürstendamm stations. The main station Südkreuz is also just one stop away from here. More info via: (website hidden) To Schönefeld airport: 30 minutes directly from Schöneberg Station. To Tegel airport: 30 minutes from Schöneberg Station to Jungfernheide Station and Bus 109.
To Autobahn A100: 1 Minute by car","Bitte keine Partys oder laute Musik ab 21 Uhr. Zum rauchen bitte Fenster öffnen

Please no parties or loud music after 9 p.m. If you smoke, please open a window

Handwerker& Hausmeister im Haus","Vollausgestattes, lichtdurchflutetes  2-Zimmer-Apartment im Herzen von Schöneberg. Mit moderner Kunst und alten Möbeln eingerichtet. 3. Stock Altbau - ohne Aufzug. Ruhige Lage. W-Lan. Schlafzimmer mit Doppelbett (160x200), Schreibtisch, Wohnzimmer mit TV, Couch, Schlafsessel und Essbereich, Stereo-Anlage mit USB-Anschluss. Nagelneue moderne Küche mit Waschmaschine, Geschirr und Besteck, Wannenbad mit Handtüchern. Bücher & Reiseführer!
1 Min. zu Fuß zum S-Bhf. Schöneberg (Ringbahn)! Supermärkte, Restaurants und Kino gegenüber! 1 Min. zum S-Bahnhof Schöneberg (Ringbahn) zu Fuß.

Fully equipped, bright 1 bedroom apartment in the heart of Schöneberg! With modern Art and antique furniture. 3rd floor and no elevator. W-Lan. Bedroom with  queensize bed (160x200cm), desk, livingroom with sofa, single-bed for guests and a dining table, stereo-system with USB-dock, brand new modern kitchen with washing machine, silverware and dishes, bathroom with tub and towels. Books & tourist guides. 1min walk to S-Bhf Schöneberg (Ringbahn)

Gleich gegenüber befinden sich ein Penny Super-Markt und ein 24 Stunden Spätkauf. An der nächsten Ecke links ist ein Bäcker. Und an der Ecke Hauptstraße, also schräg gegenüber, ein großer türkischer Supermarkt mit frischen Lebensmitteln. Jeden Sonnabend findet auf dem nahegelegenen Winterfeldplatz ein großer, bei den Berlinern sehr beliebter Wochenmarkt statt. Ein Besuch lohnt sich, drum herum gibt es viele Restaurants uns Cafés. Am S-Bahnhof Südkreuz (nur eine Station entfernt) gibt es ein IKEA.

Directly opposite the house, you will find two supermarkets – one is a “Penny Markt” (discounter) and the other is a “24 hours Spätkauf” (similar to a 7/11). Just around the corner to your left, you’ll find a decent bakery and an english cinema. And on corner of Hauptstrasse there is a large Turkish supermarket with fresh produce.
Every Saturday there is a large, weekly market on the Winterfeldplatz, which is very popular with the locals. It’s definitely worth visiting the market – there are numerous restaurants and cafés around it and it’s great for experiencing authentic Berlin and the locals. There’s also an IKEA at the S-Bahn station Südkreuz (just one stop away).

Bus M46 vor der Tür. Rechts um die Ecke, eine Minute zu Fuß, ist der S-Bhf. Schöneberg (Ringbahn). Von dort ist man in zehn Minuten in Mitte am S-Bhf.Friedrichstraße oder am S-Bhf. Potsdamer Platz oder am Kurfürstendamm (S-Bhf. Halensee). Der Fernbahnhof Südkreuz ist nur eine Station entfernt. Zum Flughafen Schönefeld 30 Minuten direkt mit der S-Bahn, zum Flughafen Tegel 30 Min. mit der S- Bahn bis Jungfernheide und dem Bus 109. Die Autobahn A 100 ist mit dem Auto eine Minute entfernt.

Bus M 46. If you turn right, when leaving the house, you’ll find the S-Bahn station Schöneberg (Ringbahn( just a minute’s walk away. From here you can reach the centre of town (Berlin Mitte) via these stations in just 10 minutes train ride: Friedrichstrasse, Potsdamer Platz or Kurfürstendamm stations. The main station Südkreuz is also just one stop away from here.To Schönefeld airport: 30 minutes directly from Schöneberg Station. To Tegel airport: 30 minutes from Schöneberg Station to Jungfernheide Station and Bus 109.
To Autobahn A100: 1 Minute by car

Bitte keine Partys oder laute Musik ab 21 Uhr.  Rauchen und Haustiere nicht erwünscht. Sorry!

Please no parties or loud music after 9 p.m. No smoking or pets. Sorry!

Handwerker & Hausmeister im Haus
Facility manager in the house.",1,0,52.481781,13.348604,3,0,2,1,,,,,,,990,500,0,1,,0,300,2,4881203,,,1,0,0,,,,,,10827,1,,0,0,,0,0,Bright & central - 2 bedrooms in the heart of Schöneberg - fully furnished incl. all bills,0,,1290,1
Eisenacher Str.,87,0,2018-12-01,0000-00-00,1,1,0,0,,0,0,0,0,,,,,,,,1,5,0,"Der Akazien-Kiez in Schöneberg Mit seinen vielen Cafés, Restaurants und Geschäften bietet alles, was das Herz begehrt hat.

Auch Kitas und Schulen befinden sich in der Nähe.

Die Verkehrsanbindung ist durch U- und S-Bahn sowie Bus gesichert.","Anfragen, die keine Tauschangebote beinhalten, können leider nicht beantwortet werde.","Wir suchen Nachmieter für unsere sehr schöne Altbauwohnung mit drei Zimmern, Flügeltüre, Balkon und Parkett. Die Wohnung verfügt über einen Balkon und ist sowohl für Paare (mit und ohne Kind) als auch WGs geeignet.

Die Wohnung wird nur im Tausch gegen eine Mietwohnung oder ein Haus zur Miete (ggf. auch Kauf) in Potsdam oder Wannsee mit etwa folgenden Parametern angeboten: ab 4 Zimmer (ab 100 qm), Garten, bis ca. 1500 € warm.

Das Tauschangebot steht unter der Bedingung, dass der neue Mietvertrag für das Gegenangebot auch tatsächlich zustande kommt. Auf den Beibehalt der o.g. Miethöhe Haben wir leider keinen Einfluss, es kann dafür keine Gewähr übernommen werden. Auf die gesetzlichen Regelungen zur „Mietpreisbremse“ wird jedoch hingewiesen.

Der Einzugstermin ist flexibel, jedoch nicht vor dem 1.12.2018 möglich beziehungsweise nicht vor dem Einzug in das Tauschobjekt.",0,0,52.487104,13.349896,1,0,1,1,,,,,,,900,,0,0,,0,142,3,6956705,,,0,1,0,,,,,,10823,0,,0,0,,0,0,NUR TAUSCH (Berlin gegen Potsdam): Traumhafte 3-Zimmer Altbauwohnung in Schöneberg (Akazienkiez),0,,1042,0
Swakopmunder str.,55,0,2020-03-01,0000-00-00,1,1,0,0,,0,0,0,0,,,,,,,,1,3,0,,,"Nice cosy apartment, with high taste, simple and efficient fully furnished.. ready to move in. Nice central neighborhood.",1,1,52.559638,13.331738,0,0,2,1,,,,,,,1000,1300,1,1,,0,200,2,7873055,,,3,0,0,,,,,,13351,0,,0,0,,0,0,Feel at home at the 2 room apartment in a central nice neighborhood of Wedding and close to Tegel Airport,0,,1250,0
Falckensteinstraße,75,0,2019-03-01,0000-00-00,0,1,0,1,,0,1,0,0,,,,,,,,1,2,1,,,"HOME-SWAP ONLY. Please message me only if you have an apartment to swap!

Hallo,

wir mögen unsere Wohnung sehr, würden aber unter bestimmten Vorraussetzungen tauschen. 

Bitte nur mit PASSENDEM TAUSCHANGEBOT melden. Auf alle andere Nachrichten werde ich nicht antworten.

Was wir suchen:- ab 75qm- am besten kleiner Garten oder Balkon- mind. 3 Zimmer- maximal 1100€ warm...eher weniger (für 1100€ muss aber alles passen)- Hierarchie der bevorzugten Ecken: Alt-Treptow -> Kreuzberg -> Neukölln -> Treptower Park -> Friedrichshain -> Plänterwald- gerne Badewanne

Wenn möglich schickt Fotos oder hängt einen Link an.

Unsere Wohnung liegt im ruhigsten Teil der Falckensteinstraße. Sie hat zwei große Zimmer und ein kleines, eine separate Küche mit EBK, Bad mit Wanne und Fenster, abgeschliffene Dielen, Stuck, Flügeltüren, viel Stauraum. Bei Neuvermietung sollte die Miete fast bist garnicht steigen, derzeit 630 Warmmiete (Neuvermietung Juni 2017).",0,0,52.498599,13.442383,1,0,2,2,,,,,,,520,,0,1,,0,110,3,6176599,,,1,0,1,,,,,,10997,6,,0,0,,0,0,NUR TAUSCH! 3 Zimmer Kreuzberg Wrangelkiez,0,,630,0
Weichselstr. ,50,0,2019-05-01,0000-00-00,1,1,0,0,,0,1,0,0,,,,,,,,2,11,0,"Die Gegend ist seit einiger Zeit voll im Trend. Das merkt man auch an den zahlreichen Restaurants und Cafes hier in der Weichselstraße. Trotzdem hat man viel Grün in Nähe, zB. auf dem Weichselplatz oder am Dreiländereck. Am Liebsten würden wir hier direkt im Kiez bleiben, aber wir sind auch für Kreuzberg, Friedrichshain, Prenzlauer Berg, Kaskelkiez und Stralauer Ecke offen.","Wir bieten unsere freundliche 2-Zimmer-Maisonette-Wohnung zum Tausch an, da wir mit Hund und Nachwuchs nicht mehr bis ganz oben laufen wollen und ein getrenntes Zimmer brauchen.
Wir suchen eine Wohnung mit mindestens 2, besser noch 3 Zimmern, auf höchstens der 3. Etage mit Balkon und Badewanne für maximal 800€ Warmmiete.
Bitte nur SMS oder WhatsApp Nachrichten schreiben, mein Handy hat ne Macke.","Unsere Wohnung hat 2 Eingänge - einen unten (Flur, Küche, Bad und Schlafzimmer) und einen oben für das Wohnzimmer mit großem Balkon. Der Balkon ist traumhaft ruhig, obwohl die Sonnenallee sehr nahe ist, weil sich die Wohnung im 2. Hinterhaus befindet.
Da wir doch einige Schrägen haben, fühlt sich die Wohnung auch sehr geräumig an, eher so 60-65 m², aber auf dem Papier hat sie nur ca. 50m², was sich natürlich positiv auf den Preis auswirkt. Gemäß dem Mietspiegel könnte der Preis noch um 50-70€ steigen, aber wir bezahlen bisher 565€ Warmmiete + Strom u.a. für den Durchlauferhitzer.",0,0,52.511575,13.469237,1,0,2,1,,,,,,,400,1200,0,1,,0,165,2,7086777,,,3,1,0,,,,,,12045,7,,0,0,,0,1,SWAP ONLY: Wunderbare Maisonettewohnung im DG,0,,565,0
