address,area,attic,available_from_date,available_to_date,balcony,bath,bath_availability,bike_cellar,cable_tv,carpet,cellar,dishwasher,elevator,energy_building_year,energy_certificate_type,energy_consumption,energy_efficiency_class,energy_source,flatshare_friendly,floor_level,floorboards,freetext_area_description,freetext_other,freetext_property_description,furnished,garden,geo_latitude,geo_longitude,green_energy,guest_toilet,handicap_accessible,heating,heizungskosten,image,internet_dsl,internet_dsl_speed,internet_flatrate,internet_provider_change,internet_wlan,kaltmiete,kaution,kitchen_availability,laminate,linoleum,nebenkosten,num_rooms,offer_id,offer_in_exchange,online_tour,parking_option,parquet,partly_furnished,pets_allowed,phone_analog,phone_flatrate,phone_isdn,phone_voip,postcode,preis_qm_kalt,public_transport_in_minutes,satellite_tv,shared_garden,shower,smoking_is_allowed,terrace,tiles,title,underfloor_heating,url,warmmiete,washing_machine
Badenalle 5,75,0,2021-06-01,0000-00-00,1,0,0,0,,0,0,1,0,,,,,,2,2,0,In dieser beschaulichen Gegend Charlottenburgs zwischen Messegelände und Olympiastadion gibt es schöne Stadtvillen und sehenswerte Gärten. Der Berliner Forst und die Havel sind von hier aus bequem erreichbar. Aber auch ins Zentrum gelangt man schnell per U- und S-Bahn. Die Wohnung liegt in einem historischen Gebäude und ist individuell möbliert. Vom Balkon hat man einen herrlichen Blick ins Grüne und vergißt die Hektik der City! ÖPNV: S Heerstraße / U2 Theodor-Heuss-Platz;,DSl und  Kabel-TV sind in der Miete enthalten,"Maisonette im Nebengelass einer 20er-Jahre-Villa im Westend.
Möblierungsstil klassisch. 

Technische Ausstattung
DSL in der Miete enthalten, Kabel-TV

Wohnen
Ecksofa, Couchtisch, Esstisch, Anzahl der Stühle: 2, Regale, Schreibtisch, TV-Tisch, Kommode

Schlafen
Doppelbett Maße: 160*200, Kleiderschrank, Nachttische

Kochen
Einbauküche, Kühlschrank, Elektroherd mit Ceranfeldern, Dunstabzugshaube, Spülmaschine, Backofen (elektrisch)

Bad
1. Bad: mit Tageslicht, Dusche, Waschmaschine, Fliesen

Bad
2. Bad: Gäste-WC, Fliesen",1,0,0.000000,0.000000,0,1,2,0,,,,,,,,1400,1400,0,0,0,,2,7302498,,,1,0,0,,,,,,14052,18.666666666666668,3,,0,1,,0,0,möblierte Wohnung in Berlin-Charlottenburg  Badenallee,0,,1400,1
Eisenacher Str.,87,0,2018-12-01,0000-00-00,1,1,0,0,,0,0,0,0,,,,,,1,5,0,"Der Akazien-Kiez in Schöneberg Mit seinen vielen Cafés, Restaurants und Geschäften bietet alles, was das Herz begehrt hat.

Auch Kitas und Schulen befinden sich in der Nähe.

Die Verkehrsanbindung ist durch U- und S-Bahn sowie Bus gesichert.","Anfragen, die keine Tauschangebote beinhalten, können leider nicht beantwortet werde.","Wir suchen Nachmieter für unsere sehr schöne Altbauwohnung mit drei Zimmern, Flügeltüre, Balkon und Parkett. Die Wohnung verfügt über einen Balkon und ist sowohl für Paare (mit und ohne Kind) als auch WGs geeignet.

Die Wohnung wird nur im Tausch gegen eine Mietwohnung oder ein Haus zur Miete (ggf. auch Kauf) in Potsdam oder Wannsee mit etwa folgenden Parametern angeboten: ab 4 Zimmer (ab 100 qm), Garten, bis ca. 1500 € warm.

Das Tauschangebot steht unter der Bedingung, dass der neue Mietvertrag für das Gegenangebot auch tatsächlich zustande kommt. Auf den Beibehalt der o.g. Miethöhe Haben wir leider keinen Einfluss, es kann dafür keine Gewähr übernommen werden. Auf die gesetzlichen Regelungen zur „Mietpreisbremse“ wird jedoch hingewiesen.

Der Einzugstermin ist flexibel, jedoch nicht vor dem 1.12.2018 möglich beziehungsweise nicht vor dem Einzug in das Tauschobjekt.",0,0,52.487104,13.349896,1,0,1,1,,,,,,,,900,,0,0,0,142,3,6956705,,,0,1,0,,,,,,10823,10.344827586206897,0,,0,0,,0,0,NUR TAUSCH (Berlin gegen Potsdam): Traumhafte 3-Zimmer Altbauwohnung in Schöneberg (Akazienkiez),0,,1042,0
Durlucher str,79,0,2020-06-03,2021-09-01,1,1,1,1,,1,1,1,1,2018,2,,1,17,1,2,0,,,"Hello there ,

I am Looking for a couple for a beautiful  3 room apartment.

The apartment is 79 Sq. mtrs (2 bedrooms and a large living room with fully equipped kitchen; balcony; amenities room with laundry machine; bathroom with bathtub, shower and WC; second WC; wooden floor everywhere with floor heating; all rooms fully furnished in modern style). The house has a lift . The apartment is situated on the first floor of the clean and quiet apartment complex. The neighbours are quiet and friendly. The apartment is in a new building (finished in 2018)

The apartment is very centrally located (5 mins by feet to subway stations bundesplatz and ALDI supermarkts, just beside Volkspark)

Offering priority to people who would like to move in as soon as possible. 
Registration is possible and all bills are included (else electricity and internet).

Please write an email for further information (maryam.um.ir@gmail.com .... ""017634359190"" whatsapp).

Thank you",1,0,0.000000,0.000000,1,1,1,1,,,,,,,,1500,,1,0,0,0,3,7782653,,,3,1,0,,,,,,10715,18.9873417721519,5,,0,1,,0,0,Nice New Apartment Long Term,1,,1500,1
Balatonstrasse 1A,39,0,2020-06-08,0000-00-00,1,0,0,0,,0,0,0,0,,,,,,2,5,0,,,"Heyy y'all!
 soo I am looking for someone to take over the contract of my lovely apartment in Friedrischsfelde. The building itself is very modern and was designed for students. All residents have access to the building's community areas and activities such as: Community Area lounge, Gym, Community kitchen, Beachvolleyballfield, Laundryroom, Terrasse, Urban Bee-keeping, Co-gardening and Events and Partys!

I absolutely love this place and the reason why I'm leaving is because I decided to move in with a friend! 10319, Balatonstr. 1A (Ilive)
(38,5qm)

Kaltmiete: 670 €
Warm: 805 €

Contact:

pm: Giovana Jaconianni
       placeholder_ad_text_email",1,1,52.498610,13.508565,3,0,1,1,,,,,,,,670,,1,1,0,132,1,8028018,,,3,0,0,,,,,,10319,17.17948717948718,0,,0,0,,0,0,"möbliertes und modernes Wohnung mit Fitnessstudio, Waschsalon, Lounge-Area, Terrasse,...",0,,802,0
Janusz-Korczak-Str.,77,0,2020-07-01,0000-00-00,0,0,0,0,,0,0,0,0,,,,,,1,0,0,,,Zu vermieten 2 zimmer wohngung,0,0,52.539028,13.609195,0,0,0,0,,,,,,,,544,1100,0,0,0,120,3,8049641,,,0,0,0,,,,,,12627,7.064935064935065,0,,0,0,,0,0,Zu vermieten 2 zimmer Wg,0,,664,0
Schliemannstr.,45,0,2020-06-13,2020-08-24,0,0,0,0,,0,0,0,0,,,,,,2,1,0,,,"Ich vermiete schönes Wohn-Atelier (2 Zimmer, Küchenecke, kleines Bad mit Dusche) am Helmholtzplatz (Prenzlauer Berg) vom 25. Juni - 23.August. Als Wohnung/Büro/Laden/Atelier geeignet. Parterre, große Fenster, Teil Möbliert. Schöner Kiez, viele Cafés und Bars. Monatliche Miete: 700 Euro (inklusive strom/wasser)
Kaution: 500 Euro

Bei interesse nur sms an: +49 (0)175-2740651. Wohnungsbesichtigungen erst ab 22. Juni möglich. Grüße, Helene

I rent studio appartment at Helmholtzplatz (2 bedrooms, kitchen, little bath room with shower). Ground floor, huge windows, partly furnished. wonderful area of Berlin.
monthly costs: 700 EUR (all incl.)
security deposit: 500 EUR

Send a message: +49 (0)175-2740651. Housing inspection from 22. Juni",0,0,52.541609,13.417560,0,0,1,0,,,,,,,,600,500,0,0,0,100,2,8033772,,,0,0,0,,,,,,10437,13.333333333333334,0,,0,0,,0,0,Wohn-Atelier am Helmholtzplatz 25.Juni-23.August zur Untermiete,0,,700,0
Grossgörschenstr.,136,0,2020-09-01,2019-11-03,0,1,0,0,,0,0,0,0,,,,,,2,4,1,"Die Wohnung befindet sich direkt an der U-Bahn Haltestelle Kleistpark (U7). Am Ende der Grossgörschenstr. befindet sich die U+S Haltestelle Yorckstrasse, von der man aus entweder innerhalb von ein paar Minuten am Potsdamer Platz und Friedrichstrasse oder in die andere Richtung am Wannsee ist.  

Cafes und Restaurants befinden sich zahlreich in unmittelbarer Laufnähe, ebenso Lebensmittelgeschäfte (denns, REWE, Lidl).",,"Wir lieben unsere Wohnung und möchten daher nur gegen eine 4 Zimmer-Wohnung mit Garten oder Terrasse tauschen. Mögliche Stadtteile wären neben Schöneberg: Charlottenburg, Prenzlauer Berg, Mitte,  Kreuzberg, Zehlendorf.

Zu unserer Wohnung:
Ein Westberliner Altbau-Traum mit hohen Decken, opulentem Stuck, herrlichen Flügeltüren und Fischgrätenparkett in einer spannenden Lage zwischen den Kiezen Gleisdreieckspark, Akazienstrasse und Potsdamer Strasse, umgeben von Parks und Spielplätzen, aber auch der etwas lauteren Hauptstrasse. 

Die Wohnung besitzt drei Zimmer, die durch Flügeltüren miteinander verbunden, aber auch einzeln begegbar sind. In einem Zimmer steht noch ein schöner alter runder Ofen (nicht funktionstüchtig). Sowohl Küche als auch Bad sind grosszügig geschnitten und mit allem ausgestattet, was man braucht. Im Bad gibt es sowohl eine Badewanne als auch Dusche. 

Bitte nur ernstgemeinte Tauschangebote.",0,0,52.491382,13.362230,1,0,2,0,,,,,,,,1550,4170,0,0,0,160,3,7519554,,,2,1,0,,,,,,10827,11.397058823529411,1,,0,1,,0,1,TAUSCH: Großzügige 3 Zimmer-Wohnung gegen kleinere 4 Zi.-Wohnung,0,,1710,0
Eberswalder Str.,120,0,2020-08-01,0000-00-00,0,1,0,0,,0,0,0,0,,,,,,1,2,0,"Die Wohnung liegt in der Nähe der Eberswalder Straße und ist super angebunden (U2,M10,M1,12).
In der Nähe befindet sich der wunderschöne Helmholzkiez mit super schönen Cafés und und einem tollen Parkt. Einkaufsmöglichkeiten sind in unmittelbarer Nähe (Rewe, Netto, Schönhauser Arcarden) und fußläufig zu erreichen. Die Wohnung liegt im Vorderhaus und dem Seitenflügel, im ersten Obergeschoss.","SUCHE- 2 Zimmer in Prenzlauer Berg oder Mitte- bevorzugt schöner Altbau- bis maximal 1000€ warm- mit Balkon 

Bitte meldet euch nur, wenn ihr ein passendes Angebot habt in den beiden Bezirken. Ein Tausch wird nur dann in Erwägung gezogen, wenn er wirklich fair ist. Ich freue mich auf Eure Angebote!","Ich biete meine 4 Zimmer-Wohnung in Prenzlauer Berg (nahe Eberswalder Str.) zum Tausch - nur gegen eine ebenso schöne 2 Zimmer-Wohnung in Prenzlauer Berg oder Mitte. Bitte Tauschangebote direkt mit Bildern senden.

Infos zu meiner Wohnung:- 120m2, 4 Zimmer (davon ein Durchgangszimmer)- Durchbruch im Wohn/Essbereich, dadurch tolle Atmosphäre- Alle Zimmer sind schön groß- Aktuelle Warmmiete 1630€ (kann sich bei Neuvertrag ändern, durch die Mietpreisbremse eigentlich nur um 10%)- Einbauküche- Bad mit Tageslicht- kein Balkon, dafür Garten mit Kinderspielplatz im Hinterhof",0,0,52.541113,13.411812,0,0,2,0,,,,,,,,1350,4050,1,0,0,270,4,8050635,,,1,0,0,,,,,,10437,11.25,1,,1,0,,0,0,TAUSCH: 4 Zimmer Prenzlauer Berg gegen 2 Zimmer PBerg/Mitte,0,,1620,0
Schivelebeiner Str. 3,67,0,2020-07-15,0000-00-00,0,1,0,0,,1,1,1,0,,,,,,2,5,0,"Im Herzen von Prenzlauer Berg. 
1 min von S/U-Bhf. Schöhnhauser Allee","Nichtraucher, mit Haustier (+50 €)","SPACIOUS 2-ROOM APARTMENT 

APARTMENT:
very spacious and bright
modern furnishing
fully equipped kitchen
bathroom with bathtub
located in side-wing and therefore very quiet

AREA:
basically right on the popular Schönhauser Allee street with its many stores and cafes
great connection to the town centre",1,0,52.551260,13.412740,3,0,2,1,,,,,,,,700,1400,0,1,0,300,2,6020003,,,3,0,0,,,,,,10439,10.447761194029852,1,,0,1,,0,1,"Bright spacious 2-room apartment - near S/U-Bhf. Schönhauser Allee, Prenzlauer Berg",0,,1400,1
Wildenbruchstr.,94,0,2020-07-01,0000-00-00,1,1,0,0,,0,1,0,0,,,,,,1,2,0,"Die Lage ist sehr schön, 2 Minuten vom Kanal und  dem Wildenbruchpark entfernt. Die Weserstr.  ist 5 Minuten entfernt, eine Bushaltestelle direkt vor der Haustür.","Bitte nur melden wenn ihr eine Wohnung zum Tausch habt.  Wir ziehen nicht aus, wenn wir keine größere wohnung finden.

Please only contact us for SWAP offers.","Die schöne Altbauwohnung hat neben Küche und Bad und Balkon 3 große Zimmer, wovon das größte ein Durchgangszimmer ist. Daher eignet sich die Wohnung für ein Paar (mit Kind) oder als 2er WG mit gemeinsamen Wohnzimmer. Die Decken sind sehr hoch und mit Stuck verziert.
Zwei der drei Zimmer gehen zum ruhigen Innenhof.
Der Balkon geht zur Straße. Die Küche besteht aus maßgefertigter Holzablage mit Spüle, Kühlschrank, Herd und Waschmaschine.
Das Badezimmer hat eine große Badewanne und es gibt eine seperate Toilette.
Wir sind nur an Tauschangeboten für Wohnungen interessiert, die mindestens 4 Zimmer und 95 m2 groß sind. Bis maximal 1400 warm inkl. Nk.
Bevorzugte Lage Alt-Treptow, Kreuzberg, Tempelhof oder Schöneberg oder Neukölln.
Evtl steht eine (moderate) Mieterhöhung an, evtl. eine Monatsmiete Abschlag-",0,0,52.482940,13.441777,1,0,2,1,,,,,,,,700,2100,4,1,0,230,3,7805500,,,1,0,0,,,,,,12045,7.446808510638298,1,,0,0,,0,0,Nur Tausch/SWAP only:  3- Zimmer in Neukölln  gegen 4- oder 5-Zimmer,0,,930,1
Strasse Der Pariser Kommune 13,55,0,2020-07-01,0000-00-00,0,0,0,0,,0,0,0,0,,,,,,2,7,0,"1 livingroom, 1 living room with a kitchen, 1 ""storage room"" , 1 hall , 1 bathroom with toilette ,",,"Hi , I am subleting my flat for a long term.

The apartment is ideal for 1 person or 2 people.(more people is not possible)

The apartment is fully furnished and equiped(ready to live) the flat is at S bahn Ostbahnhof(Friedrichshain) 
You have many markets around , Netto is like 1-2minutes by walk from apartment , very near to public transportations ( bus is in front of the apartment , S-bahn ostbahnhof is 2 minutes from apartment by walk) there are also rewe and penny market directly in Ostbahnhof ( which is open from monday to sunday). To the city center(Alexanderplatz) it is just 2 stops with S-bahn(very near) , easy acces to all tourist attractions.The Berlin wall is just 6 minutes by walk.

ANMELDUNG IS POSSIBLE 

You will get also a contract.

The flat has 55m2 , with one bedroom , one living room with a kitchen.


The rent is 1100€ all included ( electricity , very fast wifi etc.) + deposit 1100€",1,0,52.511994,13.436868,0,0,1,0,,,,,,,,1000,1100,0,0,0,100,2,8052783,,,0,0,0,,,,,,10243,18.181818181818183,0,,0,0,,0,0,Very Central and modern apartment in Ostbahnhof(2 stops from alexanderplatz),0,,1100,0
