abloesevereinbarung,address,area,facts,from_date,image,kaltmiete,kaution,nebenkosten,num_rooms,online_since,sonstige_kosten,text_lage,text_sonstiges,text_wohnung,title,to_date,url,warmmiete
0.0,"Zionskirchstrasse 56, 10119 Berlin Mitte",80.0,"WG geeignet,sanierter Altbau,2. OG,möbliert,Eigene Küche,Badewanne,Laminat, Dielen,Ökostrom,Gasheizung,gute Parkmöglichkeiten,5
                                                    Minuten
                                                zu Fuß entfernt,Waschmaschine, Spülmaschine",16.07.2020,https://img.wg-gesucht.de/media/up/2020/23/afff1af9bab76c4bc8bf9bdd43b8352e657893dbeb94341c69f4c410be45e008_510054FA_C1A5_4632_8E04_D1C2D714DA3F.sized.png,1200.0,2000.0,0.0,3.0,9 Stunden,0.0,"The flat is located in Mitte (central Berlin). Its just 5 min walking to Torstrasse and to the subway stations Sennefelderplatz (U2) and Rosenthalerplatz (U8). The tram (M1 and M12) just stops around the corner. It is just 3 stop away from the Ring Bahn (Schönhauser Allee). 
 
There are some supermarkets around the corner (walking distance). The neighbourhood is in general quite pretty and friendly, with some nice cafes, restaurants and bars. If you like, we give you some recommendations :) 
The flat is luckily still located in one on those streets that is are rather quite, which means that its possible to keep the windows open all night long in summer time.","We have put a great deal of energy and love to detail into renovating and decorating the flat. Most of the furniture (except the bed and the wardrobe) are heirlooms and/or bought in vintage stores/on flea markets. Thats why we are looking for subtenants who can really appreciate all this effort. If possible, we would love to get to know you in person. We are quite flexible with arranging viewings.","My girlfriend and I will be travelling from mid July until mid September (+/-) this year. Thats why we are looking for (a) subtenant(s) for our beautiful apartment in Berlin Mitte. It sizes 80 square meters with big windows looking out to the pretty street (Zionskirchstrasse) and counts three rooms + kitchen und bathroom. The flat is completely furnished and nicely decorated. The apartment is just perfect for a couple. 
 
Next to bathroom (including a bathtub) and kitchen, there is  
(1) a cozy bedroom (1,4 m double bed, big wardrobe), 
(2) a living room with a smart TV,  pull out sofa (2 ppl can sleep on it) and reading armchair, and 
(3) a light-flooded dining room with an antique mirror-table and a big global map 
 
Living and dining room have both a dolby surround system, which work with smartphones. 
The flat is located in the second floor of the building.",Pretty furnished flat in central Berlin (close to Torstraße & Kastanienalle),16.09.2020,https://www.wg-gesucht.de/wohnungen-in-Berlin-Mitte.4749365.html,1200.0
0.0,"Markgrafendamm, 10245 Berlin Friedrichshain",65.0,"sanierter Altbau,4. OG,möbliert,Dusche,Laminat,Ökostrom,Zentralheizung,schlechte Parkmöglichkeiten,7
                                                    Minuten
                                                zu Fuß entfernt,Waschmaschine, Spülmaschine, Dachboden",18.12.2020,https://img.wg-gesucht.de/media/up/2019/17/aa9f81d3b0eee20d0a80f620a31b9c082a3b23669cd8e14d34a40c22212ac653_WhatsApp_Image_2019_05_05_at_18.51.58.sized.jpeg,700.0,0.0,100.0,2.0,2 Tage,0.0,"Die Wohnung liegt in einer ruhigen Bereich des Szeneviertels Friedrichshain. Die nächsten S-Bahnstationen sind  Ostkreuz und Treptower Park und  fast direkt vor dem Haus befindet sich eine Bushaltestelle. 
Der Treptower Park, einer der schönsten Parks Berlins, befindet sich in Laufweite, ebenso wie die Spree. Die Wohnung liegt im Hinterhaus, weswegen von der Straße nichts zu hören ist. 
 
The flat is at the corner of Friedrichshain alt treptow and x berg. You can walk easily to ost kreuz and then into fhain where there are all the cafe bars what have you needs. or if you want to go for a run or walk on the water its close enough to the water. You can also take the bus into hip xkoln if you want that also around the way.","Achtung, hier lebt normalerweise eine Katze, die aber in der Zeit zu meiner Freundin zieht, daher nicht für Menschen mit Katzenhaarallergie geeignet. 
For your information. A cat usually lives in the flat, she is going to my gf for the time of my vacation, therefore if you have a cat allergy, this might not be the flat for you.","Englisch below.  
 
Ich fliege mit meiner Tochter für 31 Tagen in Urlaub und suche daher einen Zwischenmieter für diesen Zeitraum. 
Die Wohnung ist vollmöbliert, auch mit Kindermöbeln, und bietet zwei Zimmer, die über eine Treppe miteinander verbunden sind. Im oberen Zimmer, dem Schlafzimmer, befindet sich ein 1,80x 2,00 m großes Doppelbett mit Federkernmatratze und ein kleines Kinderbett, sowie ein großer Schrank. 
Im unteren Zimmer befindet sich eine ausziehbare Schlafcouch und ein Tisch. 
Die Küche bietet Platz für drei Leute zum Sitzen und ist mit einer Spülmaschine ausgestattet. Daneben befindet sich das neu sanierte Duschbad mit Waschmaschine. 
WIFI inkl 
 
 
I'm flying with my daughter on vacation for 31 days therefore I am subleting my flat for those 4 weeks.  
The apartment is furnished with a queen very comfortable bed and a childs bed. The flat is two floors connected by a stair case in the flat. The sleeping quarters are upstairs and living downstairs. In the living room there is a pull out couch as well as a table. The kichen with dish washer also has a foldable table and all the things you need to cook.  
The bathroom with shower has a washingmaschine as well.","Möblierte, helle 2-Zimmer-Maisonette-Wohnung in Friedrichshain zur Zwischenmiete 13.12-15.01",17.01.2021,https://www.wg-gesucht.de/wohnungen-in-Berlin-Friedrichshain.6446594.html,800.0
,"Crellestraße, 10827 Berlin Schöneberg",64.0,"WG geeignet,Altbau,2. OG,möbliert,Badewanne, Dusche,Dielen,gute Parkmöglichkeiten,5
                                                    Minuten
                                                zu Fuß entfernt,Waschmaschine, Spülmaschine, Balkon",01.07.2020,https://img.wg-gesucht.de/,750.0,400.0,100.0,2.0,1 Tag,n.a.,,,"Zwischenmiete im wunderschönen Crellkietz (Schöneberg) eventuell verlängerbar bis August 
 
Eine sehr schöne, geräumige, helle, gemütliche 2,5 Zimmer Altbau Wohnung mitten im schönen Crellekietz.  
Stuck, hohe Decken, Balkon. 1 Bett, 1 Schlafsofa. 
 
Durchgangszimmer: Wohnung geeignet für Singles, Paare und gute Freunde.  
 
5 Minuten von Ubhf Kleistpark.  Nette Cafés, Einkaufsmöglichkeien direkt um die Ecke. Sehr gute Verkehrsanbindungen (Bus, U Bahn, S Bahn Julius-Leber Brücke)  
Nur Emails mit ausführlicheren Bewerbungstext. Ich suche jemanden ruhigen, ordentlichen verantwortungsbewussten.  Nur mit Kaution, Untermietvertrag, Bescheinigung Haftpflicht.",Schöne Altbauwohnung/Crellekietz im Juli,01.08.2020,https://www.wg-gesucht.de/wohnungen-in-Berlin-Schoeneberg.5651194.html,850.0
,"Selchowerstr. 14, 12049 Berlin Berlin",60.0,"Altbau,4. OG,möbliert,Eigene Küche,Dusche,Dielen,Waschmaschine, Balkon",01.07.2020,https://img.wg-gesucht.de/media/up/2020/23/90ae01b04ca1fcba0575712cb653ced513c1620b6c13ff901d5a24b2d827804f_20200610_140538.sized.jpg,820.0,,n.a.,2.0,13 Stunden,n.a.,"The flat is located in Neukölln in the center of the vibrant neighbourhood Schillerkiez.  
Lots of restaurants, cafes, bars, bakeries and galleries just around the corner. 
The famous park Tempelhofer Feld is just 2 min. walking!  
About 4 min. walking from nearest metro station (Boddinstraße U8)",Monthly rent: €820 including everything.,"Hi! 
I'm renting my 60m. flat for the month of July (with a possibility of 2 weeks extension)  
The apartment is ideal for one person or a couple. 
It has plenty of space:  
 
1 bedroom 
1 livingroom  
1 bathroom  
Big Kitchen  
Balcony","Beautiful 4th floor flat with balcony in Schillerkiez, Neukölln",01.08.2020,https://www.wg-gesucht.de/wohnungen-in-Berlin-Berlin.8048024.html,820.0
,"Chausseestrasse 36, 10115 Berlin Mitte",78.0,"sanierter Altbau,3. OG,möbliert,Eigene Küche,Badewanne, Dusche,Dielen,1
                                                    Minute
                                                zu Fuß entfernt,Waschmaschine",01.09.2020,https://img.wg-gesucht.de/media/up/2020/21/fdd1042bb804d06a38c60d7cf571d08757a655dfce62daf5d54fadc7b1d29381_IMG_0629_Modifier.sized.jpg,2200.0,2200.0,n.a.,3.0,2 Tage,n.a.,"Very centrally located apartment! 
The apartment is located on Chausseestraße, just north of Friedrichstraße, between the Museum of Modern Art and the Wall Museum. The nearest UBahn stations are Schwarzkopfstraße (U6) and Naturkundemuseum (U6) both a two minute walk from the apartment. There is also a tram stop 2 minutes away with direct connection to the central station (10 min ride). 
There are numerous shops on the street and within a few minutes walk, DM, Edeka, Bio Company, Alnatura, a pharmacy and two coffee shops right in front of the apartment.","All utilities, internet and any extra costs are included in the rent. 
I am renting it for a year with the potential for extending. 
For any further questions feel free to write me.","I'm renting my beautiful light and spacious apartment in Mitte for a year with possible extension. 
There are two bedrooms with double beds so could be suitable for a WG and a cosy living room and equipped built in kitchen with dining table for up to 8 people. 
The apartment is located in the back courtyard so it's relatively quiet despite being on a busy street.",Beautiful furnished light and spacious apartment for rent,01.09.2021,https://www.wg-gesucht.de/wohnungen-in-Berlin-Mitte.7963221.html,2200.0
0.0,"Metzer Strasse ..., 10405 Berlin Prenzlauer Berg",68.0,"Baujahr 1965,WG geeignet,Mehrfamilienhaus,2. OG,möbliert,Badewanne,Kabel,Parkett,Zentralheizung,Bewohnerparken,2
                                                    Minuten
                                                zu Fuß entfernt,Waschmaschine, Spülmaschine, Balkon, Keller",30.06.2020,https://img.wg-gesucht.de/media/up/2018/08/f1eaa59f65644200_img_0889.sized.jpg,1200.0,200.0,0.0,3.0,2 Tage,0.0,"Prenzlauer Berg ist geprägt durch Altbauten, die größtenteils aus der Zeit um die Wende zum 20. Jahrhundert (1889 bis 1905) stammen. Über 80 Prozent aller Wohnungen des Gebiets entstanden vor 1948, das älteste noch vorhandene Gebäude ist von 1848 (Kastanienallee 77). Im Zweiten Weltkrieg wurden im Vergleich zu anderen Ortsteilen verhältnismäßig wenige Gebäude zerstört, das Gebiet wurde zu DDR-Zeiten jedoch vernachlässigt und die letzten Ruinen erst Anfang der 1970er Jahre abgetragen. Nach der Wende wurde die marode Bausubstanz in großen Teilen saniert, Baulücken wurden bereits seit Mitte der 1980er Jahre geschlossen. 
Prenzlauer Berg bildet heute ein fast homogenes Altbaugebiet. Über 300 Gebäude stehen unter Denkmalschutz, wie das Stadtbad Oderberger Straße, die Brauerei in der Milastraße oder die Brauerei in der Knaackstraße. Der innenstadtnahe Teil ist von Restaurants und Bars geprägt. Besonders in der Kastanienallee, um den Kollwitz- und um den Helmholtzplatz konzentriert sich die berlintypische Gastronomie. Mittelpunkt des Nachtlebens ist das Gebiet um den U-Bahnhof Eberswalder Straße, an dem sich Schönhauser Allee, Danziger-/Eberswalder Straße und Kastanien-/Pappelallee schneiden. Diese Kreuzung und der Kiez werden „Ecke Schönhauser“ genannt. Diese ältere berlinische Bezeichnung wurde als Titel für den gleichnamigen DEFA-Kultfilm von 1957 verwendet und dadurch allgemeiner bekannt.",Die Wohnung wird für max.  2 Personen vermietet,"Die Wohnung liegt zwischen den Stadtbezirken Mitte und Prenzlauer Berg. Fussläufig 2 Minuten zum Kollwitzplatz mit trendigen Kneipen & Clubs, Restaurants & Modeshops. U-Banh direkt vor der Tür. 
Das alte Zentrum Berlins mit Museumsinsel in Blickweite und das historische Viertel im Prenzlauer Berg mit Szene und buntem Leben zum Greifen nah. Der Mauerpark mit größtem Szenmarkt am Sonntag fussläufig. 
Bäume vor dem Fenster und Nachtruhe zum grünen Hofgarten. 
 
Max.Mieterzahl: 2 Personen. 
 
Keine Tiere.Nichtraucher.zeitlich begrenzt für Besucher! 
 
U-Bahn direkt vor der Tür, das größte Biokaufhaus gegenüber ist hier alles fussläufig zu erreichen. Näher dran geht nicht !! 
U-Bahn und Strassenbahn 2 Min.",Sonnige Balkonwohnung  im Szenekiez Prenzlauer Berg /nur zeitlich begrenzt !!,01.09.2020,https://www.wg-gesucht.de/wohnungen-in-Berlin-Prenzlauer-Berg.6564420.html,1200.0
,"zentral Krzb/NK, 10967 Berlin Kreuzberg",54.0,"WG geeignet,sanierter Altbau,1. OG,möbliert,Nicht vorhanden,Dusche,Satellit,Dielen,Fernwärme,gute Parkmöglichkeiten,3
                                                    Minuten
                                                zu Fuß entfernt,Waschmaschine",01.09.2020,https://img.wg-gesucht.de/,700.0,1500.0,400.0,2.0,1 Tag,100.0,,,"You can write in your language, thats better as a version from an internet-translator. 
See below in English. Please not WhatsUp, phone, skype, etc. 
 
Hermannplatz - Ein-Zimmer (Nichtraucher!)-Wohnung 43 qm, Küche, Bad, ohne Balkon, ohne Keller, kein Lager 
(andere Wohnungen im Hause sind frei ab 01.07.20/ 01.08.20/ 01.01.21) 
 
1200,- für max. 2 Personen + 49,- DSL + Strom nach Verbrauch (50 Cent die Einheit). Kaution: 1500,-  
Eine 3. Person kostet 150,- mehr  
WARM-Miete. Zahlungen nach Kalendermonaten. Bei kürzeren Mietzeiten weniger Monate, kostet es mehr.  
 
STUDENTEN einschl. DSL/Strom/Heisses Wasser/Wärme 
5 Personen 350,- jeder, mit weniger Personen kostet es mehr, 6. Person 150,- 
 
Befristeter Untermietvertrag einer möblierten Wohnung auf Zeit mit Anmeldung, mit technischen Service und betreut für Notwendigkeiten der Wohnung und der Infrastruktur. Der Untermieter hat somit den Rücken frei. 
Der erfahrene Vermieter ist meist für Rat und Erfahrung und für praktische Lösungen mit vielen Dienstleistern für gute Abläufe da. Der Vermieter und der Hausmeister sind im selben Haus.  
Jobcenter- oder LaGeSo-Leistungen oder über andere Ämter sind für dieses betreute Wohnen nicht möglich.  
 
Zentral, exzellente Infrastruktur, U-Bahnhof (7 und 8) und Busbahnhof vor der Türe, großer Park gegenüber, Marktplatz, Kaufhaus, viele Geschäfte, Kleinrestaurants, Fitness, Schwimmbad, hoher Freizeitwert, junges Umfeld 
 
Die Wohnung ist komfortabel und hochwertig mit allem ausgestattet (Technik, Utensilien, Küchengeräte, Waschmaschine, Trockner), abgezogene Dielen, sauber, gepflegt, schöne Sachen.  
Darin rauchen oder Möbel oder Tiere mitbringen oder Musikinstrumente spielen oder Gewerbe sind nicht möglich.  
Sehr wichtig ist die Nachtruhe. Ab 22 Uhr soll es herrlich ruhig bleiben, man kann gut schlafen.  
 
1) Wieviel Personen real, kommt jemand nach? (Kinder, Familie, Freund/in) 
2) Bitte nennen Sie den Preis, (siehe Anzeige), auch der Kaution. Nur so wird klar, dass Sie diese Grundlage kennen 
3) Ihr Mietzeitraum ist bis? (konkret) Kalendermonate bitte (also nicht z.B. ab dem 31. oder bis zum 01.) 
4) Was für einer Beschäftigung gehen Sie konkret nach? Haben Sie einen Arbeitsvertrag? 
5) Bringen Sie außer Koffern etwas mit? was genau? (Möbel etc.) 
6) Wo sind Sie derzeit? in Berlin?  
7) aus welchem Land kommt Ihr Pass? 
8) verstehen Sie die deutsche Sprache? 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
ENGLISH 
You can write in your language, thats better as a version from an internet translator. 
Please not WhatsUp, phone, skype, etc. 
 
Hermannplatz - one-room (non-smoking!) - apartment 43 sqm, kitchen, bathroom, without balcony, without cellar, no warehouse 
(other apartments in the house are free from 01.06.20 / 01.08.20 / 01.01.21). 
 
1200, - for max. 2 people + 49, - DSL + electricity according to consumption (50 cents per unit). Deposit: 1500, - 
A 3rd person costs 150, - more 
Rent including heating. Payments by calendar month. With shorter rental periods of fewer months, it costs more. 
 
STUDENTS including DSL/electrificy/hot water/heatment 
5 persons 350,- each, if less persons its costs more, 6. person 150,- 
 
Temporary sublease contract for a furnished apartment with registration, with technical service and takes care of the necessities of the apartment and the infrastructure. The subtenant has no work. 
The experienced landlord is usually there for advice and experience and for practical solutions with many service providers for good processes. The landlord and the caretaker are in the same house. 
Job center or LaGeSo services or through other offices are not possible for this assisted living. 
 
Central, excellent infrastructure, subway station (7 and 8) and bus station in front of the door, large park opposite, market place, department store, many shops, small restaurants, fitness, swimming pool, high recreational value, young environment 
 
The apartment is comfortable and of high quality with everything (technology, utensils, kitchen appliances, washing machine, dryer), peeled floorboards, clean, well-kept, nice things. 
Smoking in it or bringing furniture or animals or playing musical instruments or doing business is not possible. 
The night's rest is very important. From 10 p.m. it should be wonderfully quiet, you can sleep well 
 
1) How many people real, does someone follow? (children, family, friend) 
2) Please indicate the price (see advertisement) and the deposit. This is the only way to make it clear that you know this basis 
3) Is your rental period up to? (specific) calendar months please (not e.g. from the 31st or until the 1st) 
4) What kind of employment do you have? Do you have an employment contract? 
5) Do you bring anything besides suitcases? what exactly? (furniture etc.) 
6) Where are you currently? in Berlin? 
7) What country does your passport come from? 
8) do you understand the German language?","ab Sep/ 1,5 Zi-Wo möbl. ruhig auch für bis 6 Studenten",31.12.2022,https://www.wg-gesucht.de/wohnungen-in-Berlin-Kreuzberg.7619713.html,1200.0
,"Linienstraße, 10115 Berlin Mitte",55.0,"Mehrfamilienhaus,Dachgeschoss,möbliert,Eigene Küche,Badewanne, Dusche,Laminat, Fliesen,Ökostrom,Bewohnerparken,3
                                                    Minuten
                                                zu Fuß entfernt,Waschmaschine, Spülmaschine, Balkon, Aufzug",01.07.2020,https://img.wg-gesucht.de/media/up/2020/23/80b3a5d0b1c7a7b20f02d0169e39d9023658f379247e77f48a37295ff982c6b2__ber_den_D_chern.sized.jpg,440.0,500.0,190.0,2.0,1 Tag,98.0,"Absolut zentrale Lage mit Bus (3 min.), Tram, U-Bahn, S-Bahn (alle 5min.), Train-Station 10 min. mit Bus, Flughafen 30 min U-Bahn, Mini-Supermarkt im Haus,  alles andere im  Scheunenviertel: Nationale und internationale Restaurants, Cafés, Kneipen, Kinos, Lounges, Bars, E-Scooter, E-Bikes, Theater (Berliner Enseble, Volksbühne, Deutstsche Theate, Komische Oper, Synagoge, Kirchen, AlexanderPaltz mit Fernsehturm, Gendarmenmarkt, Friedrichstraße mit Varieté, Schifffahrt auf der Spree, Regierungsviertel mit Reichstag, Kanzleramt und und und ....","Sonstige Kosten sind Strom, Internet, Versicherung, Endreinigung","Ab 01.07.2020 (eventuell ab 21.06.) bist 30.09.2020 ist wieder etwas frei im 7.Himmel .... mitten in Mitte, in HU-Nähe (hinter der Oranienburger Straße, neben der Friedrichstraße, sonnig, Blick von Prenzlauer Berg bis Reichstag über Mitte, ruhig, super verkehrsgünstig - eben mittendrin. Austsattung der gepflegten Wohnung mit  : Internet, Waschmaschine, Spüler, Mikrowelle, Ceranfeldherd, Balkon mit Außenrauchanlage, Klavier, Fahrrad ... einfach mal anschauen. Frühes Kommen sichert einen Sommer über den Dächern Berlins. Einfach mal anschauen und 3 Monate im 7.Himme wohnen  :-) Besichtigung am 19./20.06. zw. 17-19 Uhr oder nach Absprache",Einen Sommer  im 7. Himmel  über ber denn Dächern Berlins,30.09.2020,https://www.wg-gesucht.de/wohnungen-in-Berlin-Mitte.8039409.html,728.0
0.0,"Reuterstraße 46, 12047 Berlin Neukölln",48.0,"Baujahr 1905,sanierter Altbau,2. OG,möbliert,Nicht vorhanden,Dusche,Dielen,Ökostrom,gute Parkmöglichkeiten,4
                                                    Minuten
                                                zu Fuß entfernt,Waschmaschine",01.07.2020,https://img.wg-gesucht.de/media/up/2020/23/e1eb02c3fe02c868a878b4ef7be8b756e38a4c85a2cff746f68c27d49cd908f3_Wohn__und_Schlafzimmer.sized.JPG,550.0,500.0,0.0,2.0,17 Stunden,0.0,"Die Lage ist #beste. Direkt im schönen Reuterkiez, nah am Hermannplatz, Landwehrkanal, Hasenheide usw..",,"Ich bin im Juli nicht in Berlin. Deswegen stelle ich hier meine vollständig möblierte Wohnung für 3 Wochen  (01.-21. Juli; über die Details können wir sprechen) ein. 
Ich stelle mir vor, dass vielleicht jemand von hier aus auf Wohnungssuche geht oder einfach ein paar Wochen im Sommer in Berlin verbringen will. 
Es gibt ein Schlaf/Wohnzimmer (inkl. Beamer), ein Arbeitszimmer, eine kleine krumme Küche und ein kleines krummes Bad. 
Es ist soweit alles da, was man fürs Leben braucht, es sei denn man ist einE sehr ausgefuchstE Koch /Köchin. Eure Juliette-Schneider müsst ihr selber mitbringen.",kleine Wohnung im Reuterkiez (Nähe Herrmanplatz) im Juli,22.07.2020,https://www.wg-gesucht.de/wohnungen-in-Berlin-Neukoelln.8039573.html,550.0
0.0,"Käte-Niederkirchner Straße 1, 10407 Berlin Prenzlauer Berg",85.0,"WG geeignet,sanierter Altbau,Dachgeschoss,Eigene Küche,Badewanne, Dusche, Gäste WC,Kabel,Fußbodenheizung,Zentralheizung,Bewohnerparken,1
                                                    Minute
                                                zu Fuß entfernt,Spülmaschine, Terrasse, Keller, Aufzug, Haustiere erlaubt",01.07.2020,https://img.wg-gesucht.de/,1800.0,5400.0,250.0,4.0,17 Stunden,0.0,"Die Wohnung befindet sich direkt am Volkspark Friedrichshain und bietet alles was das Herz begehrt. 
Leckere Restaurants, viele Einkaufsmöglichkeiten, direkten ÖPNV Verbindungen und viel Grün im Park. 
 
Prenzlauer Berg und Friedrichshain sprechen als Bezirke sowieso für sich und die Lage könnte nicht zentraler und am Puls der Zeit sein.",,"Die Wohnung befindet sich im Dachgeschoss und ist komplett renoviert worden. 
Es gibt 4 Klimaanlagen und Fußbodenheizung. Dazu eine wunderschöne Dachterasse mit Südseite. 
 
Die Wohnung verfügt über 2 Bäder (1 x Dusche / 1 x Badewanne) und Einbauküche, inkl. Geschirrspühler und Kühlschrank. 
Über die Wohnzimmer / Wohnküche kommt man auf die Terasse und jedes Zimmer ist einzeln begehbar. 
 
Wir (3 Personen) haben die Wohnung ab 01.07. angemietet, jedoch eine andere Wohnung angeboten bekommen, die wir lieber nehmen würden. Grund ist die Lage weiter östlich. Leider kommen wir nicht so einfach aus dem Mietvertrag raus und wollen die Wohnung deswegen bis zur Kündigungsfrist untervermieten, bzw. dafür sorgen das sie direkt weitervermietet wird. Der Vermieter ist da auch relativ kooperativ. 
 
Fotos und das Expose gibt es auf Anfrage. :)",4-Raum Wohnung am Volkspark Friedrichshain sucht Nachmieter!,,https://www.wg-gesucht.de/wohnungen-in-Berlin-Prenzlauer-Berg.8041344.html,2050.0
